number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0156-0071	1291	305.905	394924	290	394924	160.693	seedling33	pNRT2.1:LUC	1mM	plate5
2	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0165-0107	1317	342.237	450726	311	450726	163.688	seedling34	pNRT2.1:LUC	1mM	plate5
3	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0162-0163	1391	315.693	439129	299	439129	172.637	seedling35	pNRT2.1:LUC	1mM	plate5
4	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0173-0208	1570	378.314	593953	337	593953	194.951	seedling36	pNRT2.1:LUC	1mM	plate5
5	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0191-0266	1803	407.791	735248	350	735248	223.961	seedling37	pNRT2.1:LUC	1mM	plate5
6	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0173-0331	1569	362.779	569201	322	569201	194.743	seedling38	pNRT2.1:LUC	1mM	plate5
7	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0180-0374	1699	419.887	713388	361	713388	210.903	seedling39	pNRT2.1:LUC	1mM	plate5
8	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0173-0434	1597	375.934	600367	330	600367	198.415	seedling40	pNRT2.1:LUC	1mM	plate5
9	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0362-0409	1467	286.052	419639	286	419639	182.746	background	pNRT2.1:LUC	1mM	plate5
10	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0374-0310	1719	286.282	492118	286	492118	213.6	background	pNRT2.1:LUC	1mM	plate5
11	20230621_pNRT21_rep2_1Mm_N5_luc.tif:0380-0176	1410	285.622	402727	286	402727	176.587	background	pNRT2.1:LUC	1mM	plate5
1	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0171-0051	1487	339.267	504490	308	504490	185.784	seedling41	pNRT2.1:LUC	1mM	plate6
2	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0166-0113	1521	369.73	562360	323	562360	189.072	seedling42	pNRT2.1:LUC	1mM	plate6
3	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0182-0164	1703	436.732	743755	380	743755	211.537	seedling43	pNRT2.1:LUC	1mM	plate6
4	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0163-0209	1533	374.031	573389	339	573389	190.611	seedling44	pNRT2.1:LUC	1mM	plate6
5	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0176-0270	1771	433.127	767068	388	767068	221.261	seedling45	pNRT2.1:LUC	1mM	plate6
6	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0179-0313	1756	472.364	829472	402	829472	218.409	seedling46	pNRT2.1:LUC	1mM	plate6
7	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0158-0370	1557	311.125	484422	298	484422	193.553	seedling47	pNRT2.1:LUC	1mM	plate6
8	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0167-0408	1746	411.163	717891	361	717891	217.392	seedling48	pNRT2.1:LUC	1mM	plate6
9	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0380-0428	1537	286.241	439952	286	439952	190.983	background	pNRT2.1:LUC	1mM	plate6
10	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0396-0325	1434	286.319	410581	286	410581	178.37	background	pNRT2.1:LUC	1mM	plate6
11	20230621_pNRT21_rep2_1Mm_N6_luc.tif:0393-0227	1492	286.277	427125	286	427125	185.325	background	pNRT2.1:LUC	1mM	plate6
1	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0180-0053	1614	400.209	645937	341	645937	200.8	seedling49	pNRT2.1:LUC	1mM	plate7
2	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0163-0107	1383	346.973	479864	319	479864	172.288	seedling50	pNRT2.1:LUC	1mM	plate7
3	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0164-0154	1592	458.115	729319	385	729319	198.165	seedling51	pNRT2.1:LUC	1mM	plate7
4	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0179-0216	1724	422.213	727896	374	727896	214.398	seedling52	pNRT2.1:LUC	1mM	plate7
5	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0168-0263	1682	340.439	572618	316	572618	208.994	seedling53	pNRT2.1:LUC	1mM	plate7
6	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0159-0311	1469	409.651	601778	366	601778	182.213	seedling54	pNRT2.1:LUC	1mM	plate7
7	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0165-0362	1596	383.536	612124	347	612124	198.897	seedling55	pNRT2.1:LUC	1mM	plate7
8	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0176-0419	1865	396.714	739872	348	739872	232.492	seedling56	pNRT2.1:LUC	1mM	plate7
9	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0377-0417	1441	286.217	412438	286	412438	178.975	background	pNRT2.1:LUC	1mM	plate7
10	20230621_pNRT21_rep2_1Mm_N7_luc.tif:0381-0323	1506	286.114	430888	286	430888	187.227	background	pNRT2.1:LUC	1mM	plate7
