number	plate_info	length_px	scale_px_mm	seedling	genotype	KNO3	plate	lateralRoots
6	SC68_nrt21KO_10mM_001.tif:4841-2882	1105.965	23.3	seedling14	nrt2.1_KO	10mM	plate2	9
7	SC68_nrt21KO_10mM_001.tif:4918-3153	1245.145	23.3	seedling15	nrt2.1_KO	10mM	plate2	10
8	SC68_nrt21KO_10mM_001.tif:4917-3463	1233.135	23.3	seedling16	nrt2.1_KO	10mM	plate2	10
1	SC68_nrt21KO_10mM_002.tif:1662-1656	1085.193	23.3	seedling17	nrt2.1_KO	10mM	plate3	8
2	SC68_nrt21KO_10mM_002.tif:1623-1904	1007.58	23.3	seedling18	nrt2.1_KO	10mM	plate3	7
3	SC68_nrt21KO_10mM_002.tif:1636-2168	965.948	23.3	seedling19	nrt2.1_KO	10mM	plate3	5
4	SC68_nrt21KO_10mM_002.tif:1505-2448	716.99	23.3	seedling20	nrt2.1_KO	10mM	plate3	2
5	SC68_nrt21KO_10mM_002.tif:1505-2685	755.068	23.3	seedling21	nrt2.1_KO	10mM	plate3	3
6	SC68_nrt21KO_10mM_002.tif:1480-2991	687.81	23.3	seedling22	nrt2.1_KO	10mM	plate3	3
7	SC68_nrt21KO_10mM_002.tif:1670-3251	1066.596	23.3	seedling23	nrt2.1_KO	10mM	plate3	10
8	SC68_nrt21KO_10mM_002.tif:1666-3462	1094.34	23.3	seedling24	nrt2.1_KO	10mM	plate3	11
1	SC68_nrt21KO_10mM_002.tif:4683-1602	993.405	23.3	seedling25	nrt2.1_KO	10mM	plate4	9
2	SC68_nrt21KO_10mM_002.tif:4593-1897	850.9	23.3	seedling26	nrt2.1_KO	10mM	plate4	3
3	SC68_nrt21KO_10mM_002.tif:4675-2200	1070.07	23.3	seedling27	nrt2.1_KO	10mM	plate4	8
4	SC68_nrt21KO_10mM_002.tif:4664-2359	1027.887	23.3	seedling28	nrt2.1_KO	10mM	plate4	7
5	SC68_nrt21KO_10mM_002.tif:4671-2671	1068.533	23.3	seedling29	nrt2.1_KO	10mM	plate4	8
6	SC68_nrt21KO_10mM_002.tif:4683-2963	1085.54	23.3	seedling30	nrt2.1_KO	10mM	plate4	10
7	SC68_nrt21KO_10mM_002.tif:4692-3249	1134.301	23.3	seedling31	nrt2.1_KO	10mM	plate4	11
8	SC68_nrt21KO_10mM_002.tif:4751-3622	1218.06	23.3	seedling32	nrt2.1_KO	10mM	plate4	11
1	SC68_WT_1mM_001.tif:1231-1650	680.665	23.3	seedling1	Col0_WT	1mM	plate1	3
2	SC68_WT_1mM_001.tif:1422-1974	1051.8	23.3	seedling2	Col0_WT	1mM	plate1	8
3	SC68_WT_1mM_001.tif:1462-2256	1091.177	23.3	seedling3	Col0_WT	1mM	plate1	9
4	SC68_WT_1mM_001.tif:1355-2481	913.581	23.3	seedling4	Col0_WT	1mM	plate1	5
5	SC68_WT_1mM_001.tif:1472-2753	1106.572	23.3	seedling5	Col0_WT	1mM	plate1	8
6	SC68_WT_1mM_001.tif:1303-3041	758.326	23.3	seedling6	Col0_WT	1mM	plate1	4
7	SC68_WT_1mM_001.tif:1427-3327	1042.852	23.3	seedling7	Col0_WT	1mM	plate1	6
8	SC68_WT_1mM_001.tif:1415-3629	1071.654	23.3	seedling8	Col0_WT	1mM	plate1	10
1	SC68_WT_1mM_001.tif:4357-1767	976.987	23.3	seedling9	Col0_WT	1mM	plate2	9
2	SC68_WT_1mM_001.tif:4428-2001	1098.968	23.3	seedling10	Col0_WT	1mM	plate2	9
3	SC68_WT_1mM_001.tif:4340-2281	870.661	23.3	seedling11	Col0_WT	1mM	plate2	5
4	SC68_WT_1mM_001.tif:4382-2543	902.18	23.3	seedling12	Col0_WT	1mM	plate2	5
5	SC68_WT_1mM_001.tif:4359-2816	857.222	23.3	seedling13	Col0_WT	1mM	plate2	3
6	SC68_WT_1mM_001.tif:4362-3107	857.701	23.3	seedling14	Col0_WT	1mM	plate2	6
7	SC68_WT_1mM_001.tif:4445-3343	981.194	23.3	seedling15	Col0_WT	1mM	plate2	6
8	SC68_WT_1mM_001.tif:4418-3635	879.481	23.3	seedling16	Col0_WT	1mM	plate2	5
1	SC68_WT_1mM_002.tif:1806-1579	972.257	23.3	seedling17	Col0_WT	1mM	plate3	6
2	SC68_WT_1mM_002.tif:1810-1825	1007.971	23.3	seedling18	Col0_WT	1mM	plate3	9
3	SC68_WT_1mM_002.tif:1721-2118	847.033	23.3	seedling19	Col0_WT	1mM	plate3	5
4	SC68_WT_1mM_002.tif:1796-2427	1102.754	23.3	seedling20	Col0_WT	1mM	plate3	9
5	SC68_WT_1mM_002.tif:1793-2668	1115.129	23.3	seedling21	Col0_WT	1mM	plate3	10
6	SC68_WT_1mM_002.tif:1796-2951	1079.095	23.3	seedling22	Col0_WT	1mM	plate3	8
7	SC68_WT_1mM_002.tif:1802-3210	1184.964	23.3	seedling23	Col0_WT	1mM	plate3	9
8	SC68_WT_1mM_002.tif:1668-3573	839.542	23.3	seedling24	Col0_WT	1mM	plate3	8
1	SC68_WT_1mM_002.tif:4775-2241	1109.52	23.3	seedling25	Col0_WT	1mM	plate4	12
2	SC68_WT_1mM_002.tif:4743-2480	1099.513	23.3	seedling26	Col0_WT	1mM	plate4	11
3	SC68_WT_1mM_002.tif:4752-2749	1129.924	23.3	seedling27	Col0_WT	1mM	plate4	10
4	SC68_WT_1mM_002.tif:4673-2995	907.706	23.3	seedling28	Col0_WT	1mM	plate4	4
5	SC68_WT_1mM_002.tif:4770-3618	1107.455	23.3	seedling29	Col0_WT	1mM	plate4	8
1	SC68_WT10mM_001.tif:1718-1684	1159.054	23.3	seedling1	Col0_WT	10mM	plate1	12
2	SC68_WT10mM_001.tif:1570-1935	936.26	23.3	seedling2	Col0_WT	10mM	plate1	7
3	SC68_WT10mM_001.tif:1714-2249	1180.124	23.3	seedling3	Col0_WT	10mM	plate1	11
