number	plate_info	length_px	scale_px_mm	seedling	genotype	KNO3	plate	lateralRoots
1	SC69_nrt21KO_1mM_001.tif:1402-1619	925.987	23.3	seedling1	Col0_WT	1mM	plate1	8
2	SC69_nrt21KO_1mM_001.tif:1380-1946	940.108	23.3	seedling2	Col0_WT	1mM	plate1	4
3	SC69_nrt21KO_1mM_001.tif:1399-2249	913.349	23.3	seedling3	Col0_WT	1mM	plate1	5
4	SC69_nrt21KO_1mM_001.tif:1393-2517	929.594	23.3	seedling4	Col0_WT	1mM	plate1	3
5	SC69_nrt21KO_1mM_001.tif:1297-2770	791.595	23.3	seedling5	Col0_WT	1mM	plate1	3
6	SC69_nrt21KO_1mM_001.tif:1355-3023	885.6	23.3	seedling6	Col0_WT	1mM	plate1	8
7	SC69_nrt21KO_1mM_001.tif:1291-3295	710.656	23.3	seedling7	Col0_WT	1mM	plate1	3
8	SC69_nrt21KO_1mM_001.tif:1385-3605	992.358	23.3	seedling8	Col0_WT	1mM	plate1	9
1	SC69_nrt21KO_1mM_001.tif:4322-1669	744.569	23.3	seedling9	Col0_WT	1mM	plate2	3
2	SC69_nrt21KO_1mM_001.tif:4375-1894	939.922	23.3	seedling10	Col0_WT	1mM	plate2	5
3	SC69_nrt21KO_1mM_001.tif:4346-2242	818.515	23.3	seedling11	Col0_WT	1mM	plate2	2
4	SC69_nrt21KO_1mM_001.tif:4368-2532	861.115	23.3	seedling12	Col0_WT	1mM	plate2	5
5	SC69_nrt21KO_1mM_001.tif:4415-2795	994.273	23.3	seedling13	Col0_WT	1mM	plate2	4
6	SC69_nrt21KO_1mM_001.tif:4424-3061	1040.794	23.3	seedling14	Col0_WT	1mM	plate2	4
7	SC69_nrt21KO_1mM_001.tif:4460-3412	1033.106	23.3	seedling15	Col0_WT	1mM	plate2	5
8	SC69_nrt21KO_1mM_001.tif:4352-3691	874.651	23.3	seedling16	Col0_WT	1mM	plate2	7
1	SC69_WT_1mM_002.tif:3221-1581	978.655	23.3	seedling17	Col0_WT	1mM	plate3	8
2	SC69_WT_1mM_002.tif:3147-1816	942.501	23.3	seedling18	Col0_WT	1mM	plate3	7
3	SC69_WT_1mM_002.tif:3194-2132	1011.272	23.3	seedling19	Col0_WT	1mM	plate3	6
4	SC69_WT_1mM_002.tif:3248-2470	1039.539	23.3	seedling20	Col0_WT	1mM	plate3	10
5	SC69_WT_1mM_002.tif:3094-2690	801.15	23.3	seedling21	Col0_WT	1mM	plate3	5
6	SC69_WT_1mM_002.tif:3180-2944	981.829	23.3	seedling22	Col0_WT	1mM	plate3	10
7	SC69_WT_1mM_002.tif:3177-3241	999.31	23.3	seedling23	Col0_WT	1mM	plate3	6
8	SC69_WT_1mM_002.tif:3212-3605	1042.903	23.3	seedling24	Col0_WT	1mM	plate3	8
1	SC69_nrt21KO_1mM_002.tif:1249-1555	665.174	23.3	seedling1	nrt2.1_KO	1mM	plate1	1
2	SC69_nrt21KO_1mM_002.tif:1237-1834	765.618	23.3	seedling2	nrt2.1_KO	1mM	plate1	0
3	SC69_nrt21KO_1mM_002.tif:1254-2409	871.5	23.3	seedling3	nrt2.1_KO	1mM	plate1	6
4	SC69_nrt21KO_1mM_002.tif:1310-2683	950.865	23.3	seedling4	nrt2.1_KO	1mM	plate1	5
5	SC69_nrt21KO_1mM_002.tif:1253-2956	889.51	23.3	seedling5	nrt2.1_KO	1mM	plate1	6
6	SC69_nrt21KO_1mM_002.tif:1148-3209	639.508	23.3	seedling6	nrt2.1_KO	1mM	plate1	2
7	SC69_nrt21KO_1mM_002.tif:1194-3513	775.895	23.3	seedling7	nrt2.1_KO	1mM	plate1	4
1	SC69_nrt21KO_1mM_002.tif:4339-1678	879.966	23.3	seedling8	nrt2.1_KO	1mM	plate2	5
2	SC69_nrt21KO_1mM_002.tif:4232-1901	685.35	23.3	seedling9	nrt2.1_KO	1mM	plate2	1
3	SC69_nrt21KO_1mM_002.tif:4257-2163	790.712	23.3	seedling10	nrt2.1_KO	1mM	plate2	2
4	SC69_nrt21KO_1mM_002.tif:4317-2456	981.627	23.3	seedling11	nrt2.1_KO	1mM	plate2	5
5	SC69_nrt21KO_1mM_002.tif:4256-2755	711.216	23.3	seedling12	nrt2.1_KO	1mM	plate2	3
6	SC69_nrt21KO_1mM_002.tif:4260-3059	838.376	23.3	seedling13	nrt2.1_KO	1mM	plate2	3
7	SC69_nrt21KO_1mM_002.tif:4284-3307	905.289	23.3	seedling14	nrt2.1_KO	1mM	plate2	7
8	SC69_nrt21KO_1mM_002.tif:4209-3645	877.873	23.3	seedling15	nrt2.1_KO	1mM	plate2	6
1	SC69_nrt21KO_1mM_002.tif:1249-1555	666.259	23.3	seedling16	nrt2.1_KO	1mM	plate3	1
2	SC69_nrt21KO_1mM_002.tif:1236-1834	764.872	23.3	seedling17	nrt2.1_KO	1mM	plate3	1
3	SC69_nrt21KO_1mM_002.tif:1251-2411	876.075	23.3	seedling18	nrt2.1_KO	1mM	plate3	6
4	SC69_nrt21KO_1mM_002.tif:1306-2683	945.266	23.3	seedling19	nrt2.1_KO	1mM	plate3	5
5	SC69_nrt21KO_1mM_002.tif:1254-2955	888.349	23.3	seedling20	nrt2.1_KO	1mM	plate3	5
6	SC69_nrt21KO_1mM_002.tif:1150-3209	638.805	23.3	seedling21	nrt2.1_KO	1mM	plate3	2
7	SC69_nrt21KO_1mM_002.tif:1194-3514	766.35	23.3	seedling22	nrt2.1_KO	1mM	plate3	3
1	SC69_nrt21KO_1mM_002.tif:4338-1677	873.03	23.3	seedling23	nrt2.1_KO	1mM	plate4	5
2	SC69_nrt21KO_1mM_002.tif:4229-1902	688.692	23.3	seedling24	nrt2.1_KO	1mM	plate4	1
3	SC69_nrt21KO_1mM_002.tif:4259-2163	784.144	23.3	seedling25	nrt2.1_KO	1mM	plate4	2
4	SC69_nrt21KO_1mM_002.tif:4306-2457	1001.766	23.3	seedling26	nrt2.1_KO	1mM	plate4	5
5	SC69_nrt21KO_1mM_002.tif:4248-2754	723.744	23.3	seedling27	nrt2.1_KO	1mM	plate4	2
6	SC69_nrt21KO_1mM_002.tif:4264-3058	831.32	23.3	seedling28	nrt2.1_KO	1mM	plate4	3
7	SC69_nrt21KO_1mM_002.tif:4287-3307	895.177	23.3	seedling29	nrt2.1_KO	1mM	plate4	7
8	SC69_nrt21KO_1mM_002.tif:4206-3646	885.769	23.3	seedling30	nrt2.1_KO	1mM	plate4	6
1	SC69_WT_10mM_001.tif:1472-1659	1016.007	23.3	seedling1	Col0_WT	10mM	plate1	7
2	SC69_WT_10mM_001.tif:1474-1888	1077.495	23.3	seedling2	Col0_WT	10mM	plate1	11
3	SC69_WT_10mM_001.tif:1405-2169	937.867	23.3	seedling3	Col0_WT	10mM	plate1	5
4	SC69_WT_10mM_001.tif:1430-2556	1076.101	23.3	seedling4	Col0_WT	10mM	plate1	8
5	SC69_WT_10mM_001.tif:1508-3080	1189.122	23.3	seedling5	Col0_WT	10mM	plate1	11
6	SC69_WT_10mM_001.tif:1462-3334	1043.123	23.3	seedling6	Col0_WT	10mM	plate1	10
7	SC69_WT_10mM_001.tif:1470-3695	1124.746	23.3	seedling7	Col0_WT	10mM	plate1	10
1	SC69_WT_10mM_001.tif:4401-1784	848.11	23.3	seedling8	Col0_WT	10mM	plate2	7
2	SC69_WT_10mM_001.tif:4438-2209	1045.042	23.3	seedling9	Col0_WT	10mM	plate2	8
3	SC69_WT_10mM_001.tif:4495-2553	1109.996	23.3	seedling10	Col0_WT	10mM	plate2	11
4	SC69_WT_10mM_001.tif:4495-2825	1145.219	23.3	seedling11	Col0_WT	10mM	plate2	10
5	SC69_WT_10mM_001.tif:4399-3143	1006.867	23.3	seedling12	Col0_WT	10mM	plate2	9
6	SC69_WT_10mM_001.tif:4470-3469	1146.745	23.3	seedling13	Col0_WT	10mM	plate2	9
7	SC69_WT_10mM_001.tif:4499-3704	1112.348	23.3	seedling14	Col0_WT	10mM	plate2	10
1	SC69_WT_10mM_002.tif:1515-1579	1043.466	23.3	seedling15	Col0_WT	10mM	plate3	9
2	SC69_WT_10mM_002.tif:1516-1889	1055.62	23.3	seedling16	Col0_WT	10mM	plate3	8
3	SC69_WT_10mM_002.tif:1484-2287	1013.336	23.3	seedling17	Col0_WT	10mM	plate3	6
4	SC69_WT_10mM_002.tif:1539-2539	1054.53	23.3	seedling18	Col0_WT	10mM	plate3	10
5	SC69_WT_10mM_002.tif:1425-2816	898.936	23.3	seedling19	Col0_WT	10mM	plate3	6
6	SC69_WT_10mM_002.tif:1568-3070	1094.477	23.3	seedling20	Col0_WT	10mM	plate3	12
7	SC69_WT_10mM_002.tif:1467-3329	967.347	23.3	seedling21	Col0_WT	10mM	plate3	8
8	SC69_WT_10mM_002.tif:1418-3693	982.157	23.3	seedling22	Col0_WT	10mM	plate3	4
1	SC69_WT_10mM_002.tif:4429-1793	774.435	23.3	seedling23	Col0_WT	10mM	plate4	6
2	SC69_WT_10mM_002.tif:4419-2010	905.165	23.3	seedling24	Col0_WT	10mM	plate4	6
3	SC69_WT_10mM_002.tif:4526-2240	1024.374	23.3	seedling25	Col0_WT	10mM	plate4	8
4	SC69_WT_10mM_002.tif:4425-2567	850.327	23.3	seedling26	Col0_WT	10mM	plate4	6
5	SC69_WT_10mM_002.tif:4566-2857	1119.183	23.3	seedling27	Col0_WT	10mM	plate4	8
6	SC69_WT_10mM_002.tif:4513-3137	1059.106	23.3	seedling28	Col0_WT	10mM	plate4	6
7	SC69_WT_10mM_002.tif:4503-3418	1081.544	23.3	seedling29	Col0_WT	10mM	plate4	8
8	SC69_WT_10mM_002.tif:4536-3605	1131.265	23.3	seedling30	Col0_WT	10mM	plate4	9
1	SC69_nrt21KO_10mM_001.tif:1811-1494	1045.028	23.3	seedling1	nrt2.1_KO	10mM	plate1	11
2	SC69_nrt21KO_10mM_001.tif:1809-1690	1071.507	23.3	seedling2	nrt2.1_KO	10mM	plate1	9
3	SC69_nrt21KO_10mM_001.tif:1802-2015	1088.504	23.3	seedling3	nrt2.1_KO	10mM	plate1	10
4	SC69_nrt21KO_10mM_001.tif:1816-2296	1117.804	23.3	seedling4	nrt2.1_KO	10mM	plate1	8
5	SC69_nrt21KO_10mM_001.tif:1790-2528	1079.439	23.3	seedling5	nrt2.1_KO	10mM	plate1	9
6	SC69_nrt21KO_10mM_001.tif:1812-2858	1125.351	23.3	seedling6	nrt2.1_KO	10mM	plate1	12
7	SC69_nrt21KO_10mM_001.tif:1746-3184	1012.93	23.3	seedling7	nrt2.1_KO	10mM	plate1	9
8	SC69_nrt21KO_10mM_001.tif:1795-3443	1200.927	23.3	seedling8	nrt2.1_KO	10mM	plate1	12
1	SC69_nrt21KO_10mM_001.tif:4870-1481	1058.631	23.3	seedling9	nrt2.1_KO	10mM	plate2	10
2	SC69_nrt21KO_10mM_001.tif:4854-1764	1076.558	23.3	seedling10	nrt2.1_KO	10mM	plate2	10
3	SC69_nrt21KO_10mM_001.tif:4824-1951	1109.232	23.3	seedling11	nrt2.1_KO	10mM	plate2	10
4	SC69_nrt21KO_10mM_001.tif:4880-2385	1281.118	23.3	seedling12	nrt2.1_KO	10mM	plate2	12
5	SC69_nrt21KO_10mM_001.tif:4763-2655	1054.508	23.3	seedling13	nrt2.1_KO	10mM	plate2	7
6	SC69_nrt21KO_10mM_001.tif:4676-2880	893.915	23.3	seedling14	nrt2.1_KO	10mM	plate2	12
7	SC69_nrt21KO_10mM_001.tif:4725-3184	1042.028	23.3	seedling15	nrt2.1_KO	10mM	plate2	10
8	SC69_nrt21KO_10mM_001.tif:4783-3446	1198.436	23.3	seedling16	nrt2.1_KO	10mM	plate2	13
1	SC69_nrt21KO_10mM_002.tif:1578-1291	1103.1	23.3	seedling17	nrt2.1_KO	10mM	plate3	8
2	SC69_nrt21KO_10mM_002.tif:1525-1625	1030.969	23.3	seedling18	nrt2.1_KO	10mM	plate3	9
3	SC69_nrt21KO_10mM_002.tif:1516-1964	1098.601	23.3	seedling19	nrt2.1_KO	10mM	plate3	11
4	SC69_nrt21KO_10mM_002.tif:1517-2241	1047.402	23.3	seedling20	nrt2.1_KO	10mM	plate3	9
5	SC69_nrt21KO_10mM_002.tif:1520-2496	1053.433	23.3	seedling21	nrt2.1_KO	10mM	plate3	6
6	SC69_nrt21KO_10mM_002.tif:1478-2835	1128.841	23.3	seedling22	nrt2.1_KO	10mM	plate3	10
7	SC69_nrt21KO_10mM_002.tif:1494-3097	1046.296	23.3	seedling23	nrt2.1_KO	10mM	plate3	8
8	SC69_nrt21KO_10mM_002.tif:1468-3377	1096.416	23.3	seedling24	nrt2.1_KO	10mM	plate3	13
1	SC69_nrt21KO_10mM_002.tif:4658-1404	1048.83	23.3	seedling25	nrt2.1_KO	10mM	plate4	10
2	SC69_nrt21KO_10mM_002.tif:4648-1663	1073.683	23.3	seedling26	nrt2.1_KO	10mM	plate4	6
3	SC69_nrt21KO_10mM_002.tif:4561-1961	1067.785	23.3	seedling27	nrt2.1_KO	10mM	plate4	7
4	SC69_nrt21KO_10mM_002.tif:4628-2315	1062.001	23.3	seedling28	nrt2.1_KO	10mM	plate4	11
5	SC69_nrt21KO_10mM_002.tif:4605-2605	971.328	23.3	seedling29	nrt2.1_KO	10mM	plate4	8
6	SC69_nrt21KO_10mM_002.tif:4665-2867	1099.519	23.3	seedling30	nrt2.1_KO	10mM	plate4	10
7	SC69_nrt21KO_10mM_002.tif:4610-3091	1023.494	23.3	seedling31	nrt2.1_KO	10mM	plate4	8
8	SC69_nrt21KO_10mM_002.tif:4739-3324	1240.345	23.3	seedling32	nrt2.1_KO	10mM	plate4	12
