number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
1	plate1_35s_1mM_luc.tif:0190-0056	1272	339.884	432332.136	305.149	432332.136	1	157.973	seedling1	35s:luc	1mM	plate1
2	plate1_35s_1mM_luc.tif:0188-0110	1240	347.519	430923.383	311.551	430923.383	1	153.991	seedling2	35s:luc	1mM	plate1
3	plate1_35s_1mM_luc.tif:0189-0169	1352	356.873	482492.779	319.274	482492.779	1	167.962	seedling3	35s:luc	1mM	plate1
4	plate1_35s_1mM_luc.tif:0173-0232	1024	344.37	352634.422	310.755	352634.422	1	126.994	seedling4	35s:luc	1mM	plate1
5	plate1_35s_1mM_luc.tif:0177-0276	1000	344.556	344556.212	306.495	344556.212	1	123.981	seedling5	35s:luc	1mM	plate1
6	plate1_35s_1mM_luc.tif:0171-0340	1040	344.334	358107.563	311.39	358107.563	1	128.989	seedling6	35s:luc	1mM	plate1
7	plate1_35s_1mM_luc.tif:0187-0398	1216	344.94	419447.25	315.576	419447.25	1	150.99	seedling7	35s:luc	1mM	plate1
8	plate1_35s_1mM_luc.tif:0168-0443	856	323.743	277123.956	300.085	277123.956	1	105.998	seedling8	35s:luc	1mM	plate1
9	plate1_35s_1mM_luc.tif:0060-0325	1416	286.339	405456.279	286.346	405456.279	1	175.999	background	35s:luc	1mM	plate1
10	plate1_35s_1mM_luc.tif:0278-0220	1368	287.449	393230.497	287.429	393230.497	1	170	background	35s:luc	1mM	plate1
11	plate1_35s_1mM_luc.tif:0318-0357	1448	286.937	415484.615	286.99	415484.615	1	180	background	35s:luc	1mM	plate1
1	plate2_35s_1mM_luc.tif:0198-0064	1368	349.418	478004.18	307.362	478004.18	1	169.984	seedling9	35s:luc	1mM	plate2
2	plate2_35s_1mM_luc.tif:0198-0114	1376	368.937	507657.844	318.068	507657.844	1	170.972	seedling10	35s:luc	1mM	plate2
3	plate2_35s_1mM_luc.tif:0207-0180	1512	371.125	561141.535	324.093	561141.535	1	187.968	seedling11	35s:luc	1mM	plate2
4	plate2_35s_1mM_luc.tif:0177-0227	1080	348.711	376607.812	311.426	376607.812	1	133.983	seedling12	35s:luc	1mM	plate2
5	plate2_35s_1mM_luc.tif:0188-0294	1304	377.255	491939.907	325.316	491939.907	1	161.99	seedling13	35s:luc	1mM	plate2
6	plate2_35s_1mM_luc.tif:0192-0363	1312	369.412	484668.594	324.523	484668.594	1	162.953	seedling14	35s:luc	1mM	plate2
7	plate2_35s_1mM_luc.tif:0201-0415	1360	372.62	506763.398	327.813	506763.398	1	168.983	seedling15	35s:luc	1mM	plate2
8	plate2_35s_1mM_luc.tif:0192-0468	1232	359.831	443311.581	318.038	443311.581	1	152.974	seedling16	35s:luc	1mM	plate2
