number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0155-0139	1147	333.453	382471	308	382471	141.919	seedling34	pNRT2.1:LUC	1mM	plate5
2	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0164-0185	1293	320.886	414905	300	414905	160.904	seedling35	pNRT2.1:LUC	1mM	plate5
3	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0157-0240	1238	346.191	428585	315	428585	154.575	seedling36	pNRT2.1:LUC	1mM	plate5
4	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0183-0278	1687	352.232	594215	317	594215	210.335	seedling37	pNRT2.1:LUC	1mM	plate5
5	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0171-0361	1429	315.423	450739	297	450739	178.456	seedling38	pNRT2.1:LUC	1mM	plate5
6	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0183-0390	1597	333.673	532875	306	532875	199.03	seedling39	pNRT2.1:LUC	1mM	plate5
7	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0187-0444	1650	327.8	540870	300	540870	205.484	seedling40	pNRT2.1:LUC	1mM	plate5
8	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0412-0415	1324	281.208	372319	281	372319	164.151	background	pNRT2.1:LUC	1mM	plate5
9	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0400-0297	1353	280.993	380183	281	380183	168.261	background	pNRT2.1:LUC	1mM	plate5
10	20230421_AV_12_rep3_pNRT21_1mM_N5_luc.tif:0397-0186	1289	281.14	362389	281	362389	159.981	background	pNRT2.1:LUC	1mM	plate5
1	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0141-0075	1041	312.982	325814	292	325814	128.563	seedling41	pNRT2.1:LUC	1mM	plate6
2	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0167-0126	1409	363.732	512499	321	512499	175.199	seedling42	pNRT2.1:LUC	1mM	plate6
3	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0168-0183	1288	302.238	389283	291	389283	159.429	seedling43	pNRT2.1:LUC	1mM	plate6
4	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0157-0223	1251	350.489	438462	315	438462	155.348	seedling44	pNRT2.1:LUC	1mM	plate6
5	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0190-0279	1661	345.046	573121	314	573121	206.212	seedling45	pNRT2.1:LUC	1mM	plate6
6	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0209-0321	2005	393.924	789818	342	789818	249.587	seedling46	pNRT2.1:LUC	1mM	plate6
7	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0197-0382	1651	361.917	597525	321	597525	207.008	seedling47	pNRT2.1:LUC	1mM	plate6
8	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0207-0435	1805	357.455	645206	319	645206	224.26	seedling48	pNRT2.1:LUC	1mM	plate6
9	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0396-0462	1678	282.646	474280	283	474280	208.352	background	pNRT2.1:LUC	1mM	plate6
10	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0401-0233	1775	282.537	501504	282	501504	220.553	background	pNRT2.1:LUC	1mM	plate6
11	20230421_AV_12_rep3_pNRT21_1mM_N6_luc.tif:0377-0098	1588	282.204	448140	282	448140	197.56	background	pNRT2.1:LUC	1mM	plate6
1	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0149-0063	1022	297.901	304455	288	304455	126.936	seedling49	pNRT2.1:LUC	1mM	plate7
2	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0148-0122	1024	343.749	351999	314	351999	126.996	seedling50	pNRT2.1:LUC	1mM	plate7
3	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0162-0163	1474	344.377	507612	315	507612	183.929	seedling51	pNRT2.1:LUC	1mM	plate7
4	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0177-0216	1710	391.989	670301	344	670301	214.498	seedling52	pNRT2.1:LUC	1mM	plate7
5	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0158-0266	1460	327.69	478427	304	478427	181.003	seedling53	pNRT2.1:LUC	1mM	plate7
6	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0184-0321	1860	358.391	666608	315	666608	231.931	seedling54	pNRT2.1:LUC	1mM	plate7
7	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0183-0377	1678	323.662	543105	300	543105	209.331	seedling55	pNRT2.1:LUC	1mM	plate7
8	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0200-0418	1994	363.417	724654	319	724654	248.695	seedling56	pNRT2.1:LUC	1mM	plate7
9	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0392-0087	1657	281.403	466285	281	466285	205.839	background	pNRT2.1:LUC	1mM	plate7
10	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0398-0250	1576	282.08	444558	282	444558	196.283	background	pNRT2.1:LUC	1mM	plate7
11	20230421_AV_12_rep3_pNRT21_1mM_N7_luc.tif:0394-0425	1697	282.404	479240	282	479240	211.27	background	pNRT2.1:LUC	1mM	plate7
1	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0160-0066	1092	319.931	349365	294	349365	135.815	seedling57	pNRT2.1:LUC	1mM	plate8
2	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0161-0104	1237	345.362	427213	309	427213	153.775	seedling58	pNRT2.1:LUC	1mM	plate8
3	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0162-0149	1315	370.817	487625	336	487625	163.768	seedling59	pNRT2.1:LUC	1mM	plate8
4	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0183-0212	1671	373.572	624238	340	624238	207.84	seedling60	pNRT2.1:LUC	1mM	plate8
5	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0172-0250	1501	353.36	530393	322	530393	186.442	seedling61	pNRT2.1:LUC	1mM	plate8
6	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0192-0307	1798	389.574	700454	347	700454	224.01	seedling62	pNRT2.1:LUC	1mM	plate8
7	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0209-0354	2016	407.685	821892	344	821892	251.526	seedling63	pNRT2.1:LUC	1mM	plate8
8	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0181-0413	1736	370.105	642503	332	642503	215.896	seedling64	pNRT2.1:LUC	1mM	plate8
9	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0390-0385	1404	282.15	396139	282	396139	174.554	background	pNRT2.1:LUC	1mM	plate8
10	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0398-0275	1324	282.061	373449	282	373449	164.281	background	pNRT2.1:LUC	1mM	plate8
11	20230421_AV_12_rep3_pNRT21_1mM_N8_luc.tif:0386-0169	1425	281.804	401570	282	401570	177.296	background	pNRT2.1:LUC	1mM	plate8
1	20230421_AV_12_rep3_pNRT21_10mM_N13_luc.tif:0200-0073	1743	309.631	539686	287	539686	216.994	seedling97	pNRT2.1:LUC	10mM	plate13
2	20230421_AV_12_rep3_pNRT21_10mM_N13_luc.tif:0196-0129	1540	309.269	476275	291	476275	191.792	seedling98	pNRT2.1:LUC	10mM	plate13
3	20230421_AV_12_rep3_pNRT21_10mM_N13_luc.tif:0211-0173	2051	310.24	636303	289	636303	255.606	seedling99	pNRT2.1:LUC	10mM	plate13
4	20230421_AV_12_rep3_pNRT21_10mM_N13_luc.tif:0221-0237	2132	349.326	744762	298	744762	266.314	seedling100	pNRT2.1:LUC	10mM	plate13
5	20230421_AV_12_rep3_pNRT21_10mM_N13_luc.tif:0223-0285	2130	314.272	669399	290	669399	265.732	seedling101	pNRT2.1:LUC	10mM	plate13
