number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen_norm_bckg	RawIntDen_normBackg_normLen	DAY
11	20240906_pNRT21_luc_1mM_N1_luc.tif:0311-0486	1122	1032.716	1158707	1033	1158707	139.141	background		1mM	34.78525	plate1		0	10d
12	20240906_pNRT21_luc_1mM_N1_luc.tif:0298-0428	1192	1032.93	1231252	1033	1231252	148.173	background		1mM	37.04325	plate1		0	10d
13	20240906_pNRT21_luc_1mM_N1_luc.tif:0292-0366	1225	1032.5	1264813	1031	1264813	152.913	background		1mM	38.22825	plate1		0	10d
1	20240906_pNRT21_luc_1mM_N2_luc.tif:0103-0112	1074	1099.911	1181304	1053	1181304	133.683	seedling11	pNRT2.1:LUC	1mM	33.42075	plate2	70660.43515	2114.268386	10d
2	20240906_pNRT21_luc_1mM_N2_luc.tif:0098-0172	1019	1085.903	1106535	1048	1106535	126.413	seedling12	pNRT2.1:LUC	1mM	31.60325	plate2	52767.9678	1669.700673	10d
3	20240906_pNRT21_luc_1mM_N2_luc.tif:0124-0229	1308	1244.856	1628272	1104	1628272	162.623	seedling13	pNRT2.1:LUC	1mM	40.65575	plate2	275644.6417	6779.966959	10d
4	20240906_pNRT21_luc_1mM_N2_luc.tif:0121-0284	1447	1273.565	1842849	1116	1842849	179.594	seedling14	pNRT2.1:LUC	1mM	44.8985	plate2	346479.1319	7716.942257	10d
5	20240906_pNRT21_luc_1mM_N2_luc.tif:0103-0346	1143	1129.906	1291482	1066	1291482	142.389	seedling15	pNRT2.1:LUC	1mM	35.59725	plate2	109484.2396	3075.637574	10d
6	20240906_pNRT21_luc_1mM_N2_luc.tif:0102-0395	1011	1102.376	1114502	1057	1114502	125.556	seedling16	pNRT2.1:LUC	1mM	31.389	plate2	69007.91801	2198.474561	10d
7	20240906_pNRT21_luc_1mM_N2_luc.tif:0115-0447	1248	1224.707	1528434	1094	1528434	155.621	seedling17	pNRT2.1:LUC	1mM	38.90525	plate2	237853.7682	6113.667647	10d
8	20240906_pNRT21_luc_1mM_N2_luc.tif:0121-0503	1354	1408.138	1906619	1129	1906619	168.139	seedling18	pNRT2.1:LUC	1mM	42.03475	plate2	506422.178	12047.70287	10d
9	20240906_pNRT21_luc_1mM_N2_luc.tif:0122-0571	1321	1205.69	1592716	1085	1592716	164.209	seedling19	pNRT2.1:LUC	1mM	41.05225	plate2	226645.0976	5520.893437	10d
10	20240906_pNRT21_luc_1mM_N2_luc.tif:0098-0637	909	1061.637	965028	1041	965028	112.801	seedling20	pNRT2.1:LUC	1mM	28.20025	plate2	25014.0331	887.0145869	10d
