number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen_norm_bckg	RawIntDen_normBackg_normLen	DAY
3	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0236-0249	3108	1076.753	3346549	1058	3346549	387.41	seedling23	pNRT2.1:LUC	10mM	96.8525	plate3	117225.0064	1210.345695	21d
4	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0214-0329	2609	1103.361	2878669	1085	2878669	325.488	seedling24	pNRT2.1:LUC	10mM	81.372	plate3	167823.9874	2062.429182	21d
5	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0289-0362	3714	1101.331	4090342	1073	4090342	464.965	seedling25	pNRT2.1:LUC	10mM	116.24125	plate3	231362.1698	1990.362026	21d
6	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0238-0424	3170	1078.469	3418748	1058	3418748	395.415	seedling26	pNRT2.1:LUC	10mM	98.85375	plate3	125003.7723	1264.532426	21d
7	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0283-0484	3670	1088.331	3994176	1064	3994176	458.17	seedling27	pNRT2.1:LUC	10mM	114.5425	plate3	180913.7553	1579.44654	21d
8	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0247-0544	3039	1091.183	3316106	1072	3316106	379.198	seedling28	pNRT2.1:LUC	10mM	94.7995	plate3	158475.4928	1671.69123	21d
9	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0279-0595	3630	1094.719	3973831	1065	3973831	453.301	seedling29	pNRT2.1:LUC	10mM	113.32525	plate3	202130.1967	1783.62895	21d
10	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0252-0667	3366	1080.821	3638043	1059	3638043	421.66	seedling30	pNRT2.1:LUC	10mM	105.415	plate3	140647.7096	1334.228617	21d
11	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0253-0730	2341	1039.133	2432611	1039	2432611	291.369	background		10mM	72.84225	plate3		0	21d
12	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0254-0063	2407	1040.69	2504942	1040	2504942	299.638	background		10mM	74.9095	plate3		0	21d
13	20240917_AV44_NRT21luc_1mM_21j_N3_luc.tif:0252-0033	2286	1037.284	2371232	1037	2371232	284.821	background		10mM	71.20525	plate3		0	21d
1	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0259-0121	3369	1078.906	3634835	1060	3634835	421.524	seedling31	pNRT2.1:LUC	10mM	105.381	plate4	141076.5501	1338.728519	21d
2	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0232-0193	3086	1075.46	3318870	1056	3318870	384.502	seedling32	pNRT2.1:LUC	10mM	96.1255	plate4	118591.408	1233.714342	21d
3	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0248-0230	3315	1078.32	3574632	1059	3574632	413.488	seedling33	pNRT2.1:LUC	10mM	103.372	plate4	136873.2403	1324.084281	21d
4	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0264-0301	3465	1076.899	3731454	1059	3731454	433.196	seedling34	pNRT2.1:LUC	10mM	108.299	plate4	138140.5452	1275.547745	21d
5	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0262-0340	3485	1111.903	3874981	1070	3874981	434.895	seedling35	pNRT2.1:LUC	10mM	108.72375	plate4	260926.9192	2399.907281	21d
6	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0276-0420	3737	1091.86	4080280	1066	4080280	466.891	seedling36	pNRT2.1:LUC	10mM	116.72275	plate4	204894.0316	1755.390715	21d
7	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0244-0484	3327	1067.945	3553052	1055	3553052	416.254	seedling37	pNRT2.1:LUC	10mM	104.0635	plate4	102848.8647	988.3279407	21d
8	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0226-0538	3092	1062.02	3283765	1052	3283765	391.806	seedling38	pNRT2.1:LUC	10mM	97.9515	plate4	77264.22017	788.8007858	21d
9	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0271-0593	3859	1077.366	4157556	1061	4157556	481.355	seedling39	pNRT2.1:LUC	10mM	120.33875	plate4	155652.213	1293.450472	21d
10	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0277-0648	3728	1078.77	4021656	1061	4021656	465.015	seedling40	pNRT2.1:LUC	10mM	116.25375	plate4	155603.3133	1338.479949	21d
11	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0268-0031	2916	1039.917	3032399	1040	3032399	363.291	background		10mM	90.82275	plate4		0	21d
12	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0273-0737	3176	1034.663	3286089	1035	3286089	396.256	background		10mM	99.064	plate4		0	21d
13	20240917_AV44_NRT21luc_1mM_21j_N4_luc.tif:0280-0715	3233	1036.514	3351049	1036	3351049	403.539	background		10mM	100.88475			0	21d
