position_influx	sample	KNO3	Ninflux_umoleN_Gms_heure	RawIntDen_normBackg_normLen
C1	1mM_KNO3_seedling65	1mM	29.70165379	2693.022393
C2	1mM_KNO3_seedling67	1mM	13.74708615	2031.567486
C3	1mM_KNO3_seedling68	1mM	12.32885171	2348.981669
C4	1mM_KNO3_seedling69	1mM	11.12502001	2091.209697
C5	1mM_KNO3_seedling71	1mM	26.98984079	6413.103662
C6	1mM_KNO3_seedling72	1mM	21.98296469	4488.046425
C7	1mM_KNO3_seedling73	1mM	23.73082498	3094.474392
C8	1mM_KNO3_seedling74	1mM	20.37704961	3485.795042
C9	1mM_KNO3_seedling75	1mM	11.42214917	1957.695783
C10	1mM_KNO3_seedling76	1mM	23.12943423	5426.157333
C11	1mM_KNO3_seedling77	1mM	18.77818963	3448.466177
D1	1mM_KNO3_seedling81	1mM	13.57893091	497.4635287
D2	1mM_KNO3_seedling83	1mM	16.49449274	1862.461822
D3	1mM_KNO3_seedling84	1mM	26.87018927	2518.53191
D4	1mM_KNO3_seedling85	1mM	14.67012389	5010.32822
D5	1mM_KNO3_seedling87	1mM	20.15810169	3522.844835
D6	1mM_KNO3_seedling88	1mM	24.27167653	3939.589208
D7	1mM_KNO3_seedling89	1mM	18.16553681	3598.685453
D8	1mM_KNO3_seedling91	1mM	18.69740285	2074.707653
D9	1mM_KNO3_seedling92	1mM	21.32710559	3740.825855
D10	1mM_KNO3_seedling93	1mM	22.03736675	4521.260557
