Primer	Name	Cp
UBQ10	pNRT2.1:luc_seedling20	19.72
NRT2.1	pNRT2.1:luc_seedling20	23.78
NRT2.1	pNRT2.1:luc_seedling20	23.74
NRT2.1	pNRT2.1:luc_seedling20	23.78
LUC	pNRT2.1:luc_seedling20	29.95
LUC	pNRT2.1:luc_seedling20	29.79
LUC	pNRT2.1:luc_seedling20	29.79
ACT2	pNRT2.1:luc_seedling12	26.71
ACT2	pNRT2.1:luc_seedling12	26.72
ACT2	pNRT2.1:luc_seedling12	26.68
UBQ10	pNRT2.1:luc_seedling12	19.29
UBQ10	pNRT2.1:luc_seedling12	19.29
UBQ10	pNRT2.1:luc_seedling12	19.31
NRT2.1	pNRT2.1:luc_seedling12	21.95
NRT2.1	pNRT2.1:luc_seedling12	21.92
NRT2.1	pNRT2.1:luc_seedling12	21.95
LUC	pNRT2.1:luc_seedling12	28.62
LUC	pNRT2.1:luc_seedling12	28.7
LUC	pNRT2.1:luc_seedling12	28.67
ACT2	pNRT2.1:luc_seedling5	27.76
ACT2	pNRT2.1:luc_seedling5	27.85
ACT2	pNRT2.1:luc_seedling5	27.98
UBQ10	pNRT2.1:luc_seedling5	18.99
UBQ10	pNRT2.1:luc_seedling5	19
UBQ10	pNRT2.1:luc_seedling5	19.01
NRT2.1	pNRT2.1:luc_seedling5	23.06
NRT2.1	pNRT2.1:luc_seedling5	23.05
NRT2.1	pNRT2.1:luc_seedling5	23.07
LUC	pNRT2.1:luc_seedling5	29.43
LUC	pNRT2.1:luc_seedling5	29.12
LUC	pNRT2.1:luc_seedling5	29.34
ACT2	pNRT2.1:luc_seedling21	29.16
ACT2	pNRT2.1:luc_seedling21	29.57
ACT2	pNRT2.1:luc_seedling21	29.45
UBQ10	pNRT2.1:luc_seedling21	19.64
UBQ10	pNRT2.1:luc_seedling21	19.66
UBQ10	pNRT2.1:luc_seedling21	19.63
NRT2.1	pNRT2.1:luc_seedling21	24.33
NRT2.1	pNRT2.1:luc_seedling21	24.25
NRT2.1	pNRT2.1:luc_seedling21	24.22
LUC	pNRT2.1:luc_seedling21	30.33
LUC	pNRT2.1:luc_seedling21	30.11
LUC	pNRT2.1:luc_seedling21	30.17
ACT2	pNRT2.1:luc_seedling13	27.9
ACT2	pNRT2.1:luc_seedling13	27.94
ACT2	pNRT2.1:luc_seedling13	27.87
UBQ10	pNRT2.1:luc_seedling13	20.43
UBQ10	pNRT2.1:luc_seedling13	20.43
UBQ10	pNRT2.1:luc_seedling13	20.44
NRT2.1	pNRT2.1:luc_seedling13	23.87
NRT2.1	pNRT2.1:luc_seedling13	23.95
NRT2.1	pNRT2.1:luc_seedling13	23.93
LUC	pNRT2.1:luc_seedling13	30
LUC	pNRT2.1:luc_seedling13	30.25
LUC	pNRT2.1:luc_seedling13	29.94
ACT2	pNRT2.1:luc_seedling6	26.49
ACT2	pNRT2.1:luc_seedling6	26.53
ACT2	pNRT2.1:luc_seedling6	26.58
UBQ10	pNRT2.1:luc_seedling6	18.82
UBQ10	pNRT2.1:luc_seedling6	18.83
UBQ10	pNRT2.1:luc_seedling6	18.84
NRT2.1	pNRT2.1:luc_seedling6	22.77
NRT2.1	pNRT2.1:luc_seedling6	22.8
NRT2.1	pNRT2.1:luc_seedling6	22.78
LUC	pNRT2.1:luc_seedling6	29.24
LUC	pNRT2.1:luc_seedling6	29.06
LUC	pNRT2.1:luc_seedling6	29.69
ACT2	pNRT2.1:luc_seedling22	28.1
ACT2	pNRT2.1:luc_seedling22	28.2
ACT2	pNRT2.1:luc_seedling22	28.16
UBQ10	pNRT2.1:luc_seedling22	19.99
UBQ10	pNRT2.1:luc_seedling22	19.98
UBQ10	pNRT2.1:luc_seedling22	19.97
NRT2.1	pNRT2.1:luc_seedling22	23.84
NRT2.1	pNRT2.1:luc_seedling22	23.78
NRT2.1	pNRT2.1:luc_seedling22	23.79
LUC	pNRT2.1:luc_seedling22	30.16
LUC	pNRT2.1:luc_seedling22	30.08
LUC	pNRT2.1:luc_seedling22	30.06
ACT2	pNRT2.1:luc_seedling14	26.83
ACT2	pNRT2.1:luc_seedling14	26.6
ACT2	pNRT2.1:luc_seedling14	26.86
UBQ10	pNRT2.1:luc_seedling14	19.67
UBQ10	pNRT2.1:luc_seedling14	19.68
UBQ10	pNRT2.1:luc_seedling14	19.71
NRT2.1	pNRT2.1:luc_seedling14	22.17
NRT2.1	pNRT2.1:luc_seedling14	22.14
NRT2.1	pNRT2.1:luc_seedling14	22.16
LUC	pNRT2.1:luc_seedling14	28.7
LUC	pNRT2.1:luc_seedling14	28.53
LUC	pNRT2.1:luc_seedling14	28.75
ACT2	pNRT2.1:luc_seedling7	27.42
ACT2	pNRT2.1:luc_seedling7	27.55
ACT2	pNRT2.1:luc_seedling7	27.51
UBQ10	pNRT2.1:luc_seedling7	19.33
UBQ10	pNRT2.1:luc_seedling7	19.43
UBQ10	pNRT2.1:luc_seedling7	19.44
NRT2.1	pNRT2.1:luc_seedling7	22.56
NRT2.1	pNRT2.1:luc_seedling7	22.58
NRT2.1	pNRT2.1:luc_seedling7	22.58
LUC	pNRT2.1:luc_seedling7	29.22
LUC	pNRT2.1:luc_seedling7	29.28
LUC	pNRT2.1:luc_seedling7	29.44
ACT2	pNRT2.1:luc_seedling23	26.86
ACT2	pNRT2.1:luc_seedling23	26.81
ACT2	pNRT2.1:luc_seedling23	27
UBQ10	pNRT2.1:luc_seedling23	19.31
UBQ10	pNRT2.1:luc_seedling23	19.28
UBQ10	pNRT2.1:luc_seedling23	19.29
NRT2.1	pNRT2.1:luc_seedling23	22.85
NRT2.1	pNRT2.1:luc_seedling23	22.77
NRT2.1	pNRT2.1:luc_seedling23	22.8
LUC	pNRT2.1:luc_seedling23	28.89
LUC	pNRT2.1:luc_seedling23	29.03
LUC	pNRT2.1:luc_seedling23	28.88
ACT2	pNRT2.1:luc_seedling15	26.69
