	sample	length_mm	Slice	seedling	genotype	Position	continued_growing	seedling_luc
7	Substack (1-122-2):0061-0389-0194:61	26.625	41	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	25.072	41	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	41	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	41	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	18.8	41	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	41	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	19.377	40	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	16.595	40	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	40	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	40	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	40	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	40	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	25.668	40	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	23.784	40	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	40	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	40	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	17.927	40	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	40	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	18.676	39	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	16.152	39	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	39	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	39	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	39	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	39	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	24.63	39	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	22.813	39	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	39	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	39	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	17.302	39	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	39	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	17.917	38	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	15.623	38	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	38	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	38	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	38	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	38	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	23.957	38	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	21.883	38	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	38	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	38	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	16.639	38	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	38	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	17.174	37	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	14.927	37	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	37	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	37	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	37	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	37	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	22.927	37	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	21.169	37	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	37	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	37	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	16.319	37	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	37	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	16.688	36	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	14.648	36	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	36	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	36	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	36	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	36	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	21.95	36	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	20.534	36	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	36	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	36	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	15.659	36	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	36	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	15.137	35	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	14.161	35	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	35	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	35	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	35	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	35	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	21.591	35	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	19.86	35	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	35	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	35	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	15.332	35	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	35	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	14.912	34	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	13.928	34	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	34	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	34	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	34	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	34	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	20.704	34	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	18.832	34	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	34	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	34	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	14.336	34	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	34	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	14.225	33	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	13.259	33	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	33	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	33	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	33	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	33	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	19.753	33	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	18.209	33	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	33	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	33	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	13.901	33	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	33	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	13.657	32	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	12.939	32	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	32	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	32	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	32	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	32	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	19.032	32	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	17.254	32	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	32	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	32	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	13.309	32	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	32	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	12.841	31	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	12.444	31	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	31	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	31	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	31	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	31	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	18.409	31	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	16.536	31	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	31	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	31	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	12.959	31	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	31	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	12.383	30	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	12.01	30	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	30	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	30	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	30	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	30	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	17.442	30	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	15.657	30	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	30	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	30	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	12.394	30	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	30	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	11.924	29	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	11.225	29	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	29	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	29	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	29	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	29	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	16.822	29	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	14.703	29	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	29	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	29	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	11.747	29	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	29	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	11.44	28	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	10.864	28	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	28	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	28	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	28	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	28	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	15.825	28	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	13.815	28	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	28	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	28	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	10.812	28	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	28	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	10.806	27	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	10.336	27	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	27	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	27	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	27	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	27	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	14.963	27	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	12.953	27	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	27	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	27	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	10.194	27	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	27	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	9.831	26	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	9.639	26	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	26	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	26	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	26	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	26	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	14.209	26	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	12.278	26	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	26	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	26	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	9.843	26	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	26	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	9.589	25	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	9.288	25	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	25	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	25	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	25	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	25	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	13.535	25	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	11.604	25	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	25	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	25	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	9.494	25	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	25	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	9.026	24	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	8.842	24	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	24	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	24	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	24	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	24	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	12.69	24	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	10.892	24	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	24	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	24	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	8.904	24	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	24	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	8.522	23	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	8.481	23	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	23	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	23	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.404	23	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	23	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	11.916	23	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	10.107	23	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	23	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.063	23	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	8.556	23	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	23	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	8.117	22	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	8.159	22	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	6.858	22	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	22	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.131	22	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	22	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	11.306	22	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	9.673	22	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	22	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	7.943	22	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	8.122	22	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	22	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	7.834	21	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	7.837	21	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	6.858	21	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.404	21	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	6.98	21	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	21	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	10.327	21	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	8.705	21	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	21	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	7.763	21	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	7.515	21	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	6.597	21	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	7.694	20	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	7.575	20	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
