	sample	length_mm	Slice	seedling	genotype	Position	continued_growing	seedling_luc
2	Substack (1-122-2):0061-0208-0187:61	27.085	57	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	57	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	57	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	57	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	57	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	40.46	57	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	41.179	57	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	57	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	57	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	28.039	57	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	57	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	32.207	56	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	26.422	56	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	56	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	56	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	56	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	56	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	37.231	56	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	39.722	56	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	56	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	56	seedling10	pNRT2.1:LUC	Pos0	no	
