Position	Slice	MeanBack	...1	sample	Area	Mean	IntDen	Median	RawIntDen	length	seedling	genotype	RawIntDen_NormBack	root_length_mm	RawIntDen_NormBack_NormLen
Pos0	7	302.2987536599365	49	MMStack_Pos0.ome.tif:0061-0223-0091:7	883	302.989	267539	302	267539	109.848	seedling1	pNRT2.1:luc	609.2005182760768	34.3275	17.74671963516355
Pos0	7	302.2987536599365	50	MMStack_Pos0.ome.tif:0061-0210-0188:7	738	302.966	223589	303	223589	91.347	seedling2	pNRT2.1:luc	492.51979896688135	28.545937499999997	17.253586397955274
Pos0	7	302.2987536599365	51	MMStack_Pos0.ome.tif:0061-0389-0194:7	1128	302.551	341277	302	341277	139.719	seedling3	pNRT2.1:luc	284.0058715916239	43.662187499999995	6.50461847775318
Pos0	7	302.2987536599365	52	MMStack_Pos0.ome.tif:0061-0387-0232:7	1130	302.653	341998	302	341998	140.119	seedling4	pNRT2.1:luc	400.4083642717451	43.787187499999995	9.144418427690637
Pos0	7	302.2987536599365	53	MMStack_Pos0.ome.tif:0061-0362-0335:7	780	302.946	236298	302	236298	96.425	seedling5	pNRT2.1:luc	504.97214524954325	30.132812499999996	16.75821482808959
Pos0	8	301.7613184328583	57	MMStack_Pos0.ome.tif:0061-0223-0091:8	883	304.079	268502	302	268502	109.848	seedling1	pNRT2.1:luc	2046.7558237861376	34.3275	59.62437765016787
Pos0	8	301.7613184328583	58	MMStack_Pos0.ome.tif:0061-0210-0188:8	738	302.907	223545	302	223545	91.347	seedling2	pNRT2.1:luc	845.1469965505821	28.545937499999997	29.60655948155783
Pos0	8	301.7613184328583	59	MMStack_Pos0.ome.tif:0061-0389-0194:8	1128	302.449	341162	301	341162	139.719	seedling3	pNRT2.1:luc	775.2328077358543	43.662187499999995	17.75524434582794
Pos0	8	301.7613184328583	60	MMStack_Pos0.ome.tif:0061-0387-0232:8	1130	302.81	342175	302	342175	140.119	seedling4	pNRT2.1:luc	1184.710170870123	43.787187499999995	27.05609194173805
Pos0	8	301.7613184328583	61	MMStack_Pos0.ome.tif:0061-0362-0335:8	780	303.654	236850	302	236850	96.425	seedling5	pNRT2.1:luc	1476.1716223705444	30.132812499999996	48.98884305507641
Pos0	9	302.29512475448536	65	MMStack_Pos0.ome.tif:0061-0223-0091:9	883	308.971	272821	303	272821	109.848	seedling1	pNRT2.1:luc	5894.404841789452	34.3275	171.7108685977555
Pos0	9	302.29512475448536	66	MMStack_Pos0.ome.tif:0061-0210-0188:9	738	306.043	225860	303	225860	91.347	seedling2	pNRT2.1:luc	2766.1979311898176	28.545937499999997	96.90338357918067
Pos0	9	302.29512475448536	67	MMStack_Pos0.ome.tif:0061-0389-0194:9	1128	305.832	344979	302	344979	139.719	seedling3	pNRT2.1:luc	3990.099276940513	43.662187499999995	91.38569332882173
Pos0	9	302.29512475448536	68	MMStack_Pos0.ome.tif:0061-0387-0232:9	1130	307.581	347566	302	347566	140.119	seedling4	pNRT2.1:luc	5972.509027431544	43.787187499999995	136.3985532852857
Pos0	9	302.29512475448536	69	MMStack_Pos0.ome.tif:0061-0362-0335:9	780	307.908	240168	303	240168	96.425	seedling5	pNRT2.1:luc	4377.80269150142	30.132812499999996	145.28357389478398
Pos0	10	302.41073129326304	73	MMStack_Pos0.ome.tif:0061-0223-0091:10	883	312.602	276028	303	276028	109.848	seedling1	pNRT2.1:luc	8999.324268048746	34.3275	262.16078269750915
Pos0	10	302.41073129326304	74	MMStack_Pos0.ome.tif:0061-0210-0188:10	738	311.652	229999	303	229999	91.347	seedling2	pNRT2.1:luc	6819.880305571889	28.545937499999997	238.9089622848046
Pos0	10	302.41073129326304	75	MMStack_Pos0.ome.tif:0061-0389-0194:10	1128	312.949	353006	302	353006	139.719	seedling3	pNRT2.1:luc	11886.695101199264	43.662187499999995	272.2423172498919
Pos0	10	302.41073129326304	76	MMStack_Pos0.ome.tif:0061-0387-0232:10	1130	316.742	357918	303	357918	140.119	seedling4	pNRT2.1:luc	16193.873638612742	43.787187499999995	369.83132654073165
Pos0	10	302.41073129326304	77	MMStack_Pos0.ome.tif:0061-0362-0335:10	780	316.265	246687	303	246687	96.425	seedling5	pNRT2.1:luc	10806.629591254838	30.132812499999996	358.6332869278246
Pos0	11	302.1310101785211	81	MMStack_Pos0.ome.tif:0061-0223-0091:11	883	307.796	271784	302	271784	109.848	seedling1	pNRT2.1:luc	5002.318012365897	34.3275	145.7233417046361
Pos0	11	302.1310101785211	82	MMStack_Pos0.ome.tif:0061-0210-0188:11	738	323.264	238569	303	238569	91.347	seedling2	pNRT2.1:luc	15596.314488251432	28.545937499999997	546.3584612784721
Pos0	11	302.1310101785211	83	MMStack_Pos0.ome.tif:0061-0389-0194:11	1128	319.76	360689	302	360689	139.719	seedling3	pNRT2.1:luc	19885.220518628194	43.662187499999995	455.4334461283736
Pos0	11	302.1310101785211	84	MMStack_Pos0.ome.tif:0061-0387-0232:11	1130	318.696	360127	302	360127	140.119	seedling4	pNRT2.1:luc	18718.958498271182	43.787187499999995	427.49853477735206
Pos0	11	302.1310101785211	85	MMStack_Pos0.ome.tif:0061-0362-0335:11	780	319.363	249103	302	249103	96.425	seedling5	pNRT2.1:luc	13440.812060753553	30.132812499999996	446.05235773307106
Pos0	12	303.25569089880855	89	MMStack_Pos0.ome.tif:0061-0223-0091:12	883	309.313	273123	304	273123	109.848	seedling1	pNRT2.1:luc	5348.224936352053	34.3275	155.8000127114428
Pos0	12	303.25569089880855	90	MMStack_Pos0.ome.tif:0061-0210-0188:12	738	339.224	250347	304	250347	91.347	seedling2	pNRT2.1:luc	26544.300116679282	28.545937499999997	929.8801315136097
Pos0	12	303.25569089880855	91	MMStack_Pos0.ome.tif:0061-0389-0194:12	1128	330.247	372519	303	372519	139.719	seedling3	pNRT2.1:luc	30446.58066614397	43.662187499999995	697.3214676004031
Pos0	12	303.25569089880855	92	MMStack_Pos0.ome.tif:0061-0387-0232:12	1130	321.289	363057	303	363057	140.119	seedling4	pNRT2.1:luc	20378.069284346362	43.787187499999995	465.388860253844
Pos0	12	303.25569089880855	93	MMStack_Pos0.ome.tif:0061-0362-0335:12	780	320.028	249622	304	249622	96.425	seedling5	pNRT2.1:luc	13082.56109892932	30.132812499999996	434.1632928864281
