gene	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A3	A4	A5	A6	A7	A8	A9	effect.size	p.value	q.value	Mean	CV2	TechNoise	BioVar	NRT21	cluster_6_pearson	cluster_6_pearson_color
AT1G01120	0.4392799551858701	1.5047808173157073	0.6880847713314814	1.6468967083932624	0.5074037644489846	-0.5869640383137195	-0.9504161223182565	-1.252918570050566	-0.6074111007971001	-0.9822659698057026	0.4628261321724108	1.7124203340942974	-0.04450041387998413	0.1929359775182562	-0.3998798291447563	-1.1594715529169903	-1.8623638417113015	0.8274342863076314	-1.6788336675201716	0.45556599701917533	-0.4582446570470399	0.596781536323064	0.651369657408622	0.2974898259868129	0.012828213497821341	0.2971483037608973	0.9999999999999509	39.27496569713966	0.023427093106604405	0.010598879608783064	1.144266184249533	NA	1	#8DD3C7
AT1G01180	-0.6896159019322785	-0.11679119482241637	0.5637718680004219	-0.552298972734445	0.8060188609056935	0.20787534697356255	1.0371894445661394	-0.7049972447481079	-0.5262011931820273	-0.44290039997649494	-0.356537993814857	-0.8401522265109667	0.05836910386497101	0.8674297448867927	2.0456160659772396	0.8674070512456572	0.49414282095123835	1.3407591706868909	-2.3916270719580615	-0.0347301364954433	-1.5959579004585984	1.2073614047957557	-0.4198055438441035	-0.8243251023765692	0.02504676386205723	0.04777534148701601	0.708865568582217	11.08323920369336	0.042860960843636324	0.017814196981579093	1.266636740328174	NA	2	#FFFFB3
AT1G01190	0.41423764436920607	0.6048409894578846	-0.7049301009603803	1.0469742499387213	0.9194945629042472	-1.1611708155076015	-1.0692622844931419	1.2405098856785455	0.17389581667743015	0.7046588592106785	0.11530279666535329	-1.0426254344877461	2.073365853494774	0.7134092071857656	-0.009302976866151981	-0.3844858480231874	-0.7522681634010142	-1.0314913023323715	-1.8103966035159922	-0.308930587831725	-1.233263509280524	-0.4246562040955737	1.6155847635689249	0.3105092016438776	0.04358903338704524	4.384394429833849e-4	0.012245403430280683	13.279395967948943	0.0597408339442638	0.016151800557218557	1.8870223754371827	NA	1	#8DD3C7
AT1G01720	-0.15245769210910928	-0.37969355849165565	-1.5590425950575737	0.7696603408542948	0.05484006978083963	1.3523747979212042	1.7406573834065644	-0.7286246094037075	-0.527247402630688	0.09599760634429498	0.09545662960301192	0.860603330642021	-0.9714176415256476	0.14224213327309496	-1.1048952006320463	0.5428443891731772	0.45807697770515265	-0.8243801049477967	0.033280554081710545	0.6085528540249966	1.1032005599359693	-1.346274583043902	-1.9450796153513399	1.6813253764471208	0.01743880617729973	0.10689901861835704	0.9999999999999509	65.15502356449052	0.026910961102413887	0.009472154925114155	1.5064293337708365	NA	3	#BEBADA
AT1G02205	1.2426932736660312	-0.1303223793016032	1.1815605256153283	-3.8574771039922258	0.3773484931704305	0.1454789402265059	-0.3178508521045317	-0.12628219222901807	-0.4393466943118225	-0.7079191258880979	0.1298819494787665	0.18685566337640713	0.3634609789164689	0.27739200414203213	-0.30216069532704953	-0.2445851054733484	0.14877017187151267	1.6106205688424924	-0.11317095087887741	0.4583983707199634	0.47970298334661454	-0.7485874252750625	0.3823263125559793	0.003212288853102901	0.04562560934991126	4.5694560133813233e-5	0.0015207550122621869	24.15969660747625	0.05799918867033432	0.012373579320423066	2.2287698281967754	NA	2	#FFFFB3
AT1G02220	-0.7634002885674689	-0.5766865866170239	-0.7766767263432631	1.7943856044170567	-0.49469165500033774	0.16295035819976877	-0.2974762935635896	-0.4410559124578388	-0.5185555505726489	-0.8964872081017716	-0.8291211964969647	0.12913223736385962	-0.6966116630819825	-0.6388903602710193	-0.018554141560354145	0.2549197785247511	-0.08550417936457307	0.09628235082738876	3.440022173570235	0.618806827889425	1.4869538430138693	-0.6805875743577449	-0.25314955378827997	-0.016004283661497358	0.02642385628499709	0.018815054223660255	0.33800334506956115	20.647344971090128	0.03958187353465201	0.013158017249654916	1.5888977921342473	NA	3	#BEBADA
AT1G02335	-1.456506410113599	-1.0838238822204622	0.7532986756156514	-1.1116339385255658	0.09251496692259747	-1.9713012822692662	1.3529307120418066	-0.6295979546407735	0.6876489200928065	1.2951771554362492	1.7163472118671266	0.3055923048786938	0.17515026602764844	0.5193404308360997	0.44115384451889417	-0.4348938457429441	0.05074202582162864	-1.3398512201237065	-0.25850016958544014	0.955052341272075	-1.0209752625139727	-0.7116729974272814	0.5375771168458472	1.1362309909858936	0.027613534306401902	0.022273647799966878	0.38884622131039354	13.648960200791429	0.04353817670972049	0.015924642403318586	1.451020015329787	NA	1	#8DD3C7
AT1G02610	-0.7323678732857455	-0.6288249732702521	-0.895447130985056	-0.7820580120347265	0.04122749049314415	-0.33710334549939835	0.5429713484750922	0.5717877965256422	0.18663855194120196	0.5857799396782654	1.5327977362909457	-1.0515675559728541	1.6180163331371913	0.008776793045301911	0.8942908976122416	2.146402342645261	1.8324938814547467	-0.9261479947933038	-1.0944676976327787	-0.7119023304643267	-0.9853196814452659	-0.5760393504412853	-0.4359258037871942	-0.8040113616868454	0.4285194684104282	0	0	10.583555397156228	0.4468082495835181	0.018288781173089935	4.610624985798843	NA	4	#FB8072
AT1G02640	-0.5026715612477534	-0.597841775005845	-0.8096495748893601	-0.8870721777909838	-0.11615191464987748	0.12745246849926095	0.07368710494637787	-0.017329757357774755	-9.831583775175407e-4	0.10856161475180075	1.3656019560980641	-0.6487661659955875	1.683614557015154	-0.002437505585001966	0.40112249881194456	2.1180959551653276	2.714003771122723	-0.5427178366506592	-0.9187476167221679	-0.9891899308063209	-0.6268834460294987	-0.6733356503181837	-0.7053747062543729	-0.5529871487297482	0.11591187001169789	0	0	36.07709407462543	0.1267621870615369	0.010850317049839022	3.5463153518238633	NA	4	#FB8072
AT1G02660	-0.721601686423791	-0.5012043765414363	-1.1305205430705338	-0.6448525994592658	-0.12580471047817426	-0.19605932681728527	-0.05848405101911862	0.46939885468851794	0.2959914455662751	0.6196763061101532	1.482616422256795	-0.7716632127057602	1.881994683494625	0.44323377283078874	0.9715070985054087	1.9773373464908701	1.8361848885195216	-0.9085165909822541	-0.9273406952454261	-1.064797814407042	-0.6893876983564539	-0.9291984482728123	-0.7360524520908673	-0.5724566125927357	0.30900507000017746	0	0	19.098107586626323	0.3226007904330886	0.013595720432911122	4.5685254669209785	NA	4	#FB8072
AT1G02810	0.3969783330180945	1.0752300632934413	1.7008453115068822	0.692751413473627	0.825260420950804	-1.029081807293574	-2.3910825614428513	1.4734115740427574	-0.28620991133890167	0.8694431475516728	0.7671162133671097	0.8581186554021868	-0.20292101398141363	-0.7216766356429868	0.3108841997987078	-0.2956639256046297	-1.3251859872750313	0.31311299718164903	-0.4457297922646554	0.752323212901009	-0.7491223764030395	-0.8202398523722864	-0.4601469692027668	-1.308414709665805	0.016913368328863216	0.18057649661557051	0.9999999999999509	13.116699939253895	0.03316923044647794	0.016255862117614723	1.0288854704777324	NA	5	#80B1D3
