number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
7	line36_1mM_plate3_luc.tif:0187-0493	1706	1358.647	2317851	1144	2317851	212.704	seedling23	line36	1mM	plate3
8	line36_1mM_plate3_luc.tif:0187-0563	1627	1279.454	2081671	1130	2081671	203.24	seedling24	line36	1mM	plate3
9	line36_1mM_plate3_luc.tif:0181-0268	1567	1048.68	1643281	1049	1643281	194.508	background	line36	1mM	plate3
10	line36_1mM_plate3_luc.tif:0175-0388	1530	1047.945	1603356	1048	1603356	190.177	background	line36	1mM	plate3
11	line36_1mM_plate3_luc.tif:0194-0596	1606	1039.167	1668902	1039	1668902	199.098	background	line36	1mM	plate3
1	line36_1mM_plate4_luc.tif:0182-0195	1627	1377.834	2241736	1148	2241736	202.366	seedling25	line36	1mM	plate4
2	line36_1mM_plate4_luc.tif:0180-0241	1620	1290.759	2091030	1119	2091030	202.326	seedling26	line36	1mM	plate4
3	line36_1mM_plate4_luc.tif:0169-0308	1441	1259.191	1814494	1106	1814494	179.455	seedling27	line36	1mM	plate4
4	line36_1mM_plate4_luc.tif:0171-0360	1477	1279.378	1889641	1113	1889641	183.706	seedling28	line36	1mM	plate4
5	line36_1mM_plate4_luc.tif:0168-0394	1538	1300.057	1999487	1116	1999487	191.498	seedling29	line36	1mM	plate4
6	line36_1mM_plate4_luc.tif:0189-0462	1644	1394.543	2292629	1152	2292629	205.147	seedling30	line36	1mM	plate4
7	line36_1mM_plate4_luc.tif:0167-0508	1462	1253.847	1833124	1111	1833124	182.097	seedling31	line36	1mM	plate4
8	line36_1mM_plate4_luc.tif:0159-0567	1350	1276.83	1723721	1116	1723721	167.482	seedling32	line36	1mM	plate4
9	line36_1mM_plate4_luc.tif:0170-0272	1517	1042.809	1581941	1043	1581941	188.73	background	line36	1mM	plate4
10	line36_1mM_plate4_luc.tif:0173-0425	1554	1045.25	1624318	1046	1624318	193.171	background	line36	1mM	plate4
11	line36_1mM_plate4_luc.tif:0161-0537	1320	1041.811	1375190	1041	1375190	163.22	background	line36	1mM	plate4
1	line44_1mM_plate1_luc.tif:0174-0234	1412	1295.446	1829170	1124	1829170	175.613	seedling1	line44	1mM	plate1
2	line44_1mM_plate1_luc.tif:0167-0273	1404	1309.38	1838370	1128	1838370	175.223	seedling2	line44	1mM	plate1
3	line44_1mM_plate1_luc.tif:0185-0333	1549	1398.275	2165928	1142	2165928	192.389	seedling3	line44	1mM	plate1
4	line44_1mM_plate1_luc.tif:0169-0393	1446	1214.914	1756765	1090	1756765	179.624	seedling4	line44	1mM	plate1
5	line44_1mM_plate1_luc.tif:0177-0440	1470	1317.514	1936745	1120	1936745	182.313	seedling5	line44	1mM	plate1
6	line44_1mM_plate1_luc.tif:0177-0477	1475	1272.268	1876596	1121	1876596	183.319	seedling6	line44	1mM	plate1
7	line44_1mM_plate1_luc.tif:0178-0522	1471	1211.523	1782151	1099	1782151	183.346	seedling7	line44	1mM	plate1
8	line44_1mM_plate1_luc.tif:0190-0575	1661	1415.812	2351663	1189	2351663	206.816	seedling8	line44	1mM	plate1
9	line44_1mM_plate1_luc.tif:0173-0194	1296	1040.766	1348833	1040	1348833	159.91	background	line44	1mM	plate1
10	line44_1mM_plate1_luc.tif:0169-0364	1495	1042.739	1558895	1043	1558895	185.21	background	line44	1mM	plate1
11	line44_1mM_plate1_luc.tif:0187-0613	1638	1039.723	1703067	1040	1703067	203.739	background	line44	1mM	plate1
1	line44_1mM_plate2_luc.tif:0194-0233	1581	1363.687	2155989	1104	2155989	196.545	seedling9	line44	1mM	plate2
2	line44_1mM_plate2_luc.tif:0200-0271	1629	1280.778	2086387	1102	2086387	202.678	seedling10	line44	1mM	plate2
3	line44_1mM_plate2_luc.tif:0199-0334	1617	1406.351	2274069	1142	2274069	201.127	seedling11	line44	1mM	plate2
4	line44_1mM_plate2_luc.tif:0194-0367	1647	1345.417	2215902	1129	2215902	205.108	seedling12	line44	1mM	plate2
5	line44_1mM_plate2_luc.tif:0198-0427	1679	1426.602	2395265	1142	2395265	209.589	seedling13	line44	1mM	plate2
6	line44_1mM_plate2_luc.tif:0210-0480	1784	1426.445	2544778	1163	2544778	222.592	seedling14	line44	1mM	plate2
7	line44_1mM_plate2_luc.tif:0200-0547	1722	1309.449	2254871	1137	2254871	213.889	seedling15	line44	1mM	plate2
8	line44_1mM_plate2_luc.tif:0209-0581	1836	1246.136	2287905	1115	2287905	228.467	seedling16	line44	1mM	plate2
9	line44_1mM_plate2_luc.tif:0187-0302	1534	1046.408	1605190	1046	1605190	190.244	background	line44	1mM	plate2
10	line44_1mM_plate2_luc.tif:0188-0399	1511	1051.359	1588604	1051	1588604	187.749	background	line44	1mM	plate2
11	line44_1mM_plate2_luc.tif:0193-0636	1507	1037.796	1563959	1037	1563959	187.537	background	line44	1mM	plate2
