Primers	Name	Cp
UBQ10	Col 0 WT - 1 mM - 17 - seedling 54	18.24
UBQ10	Col 0 WT - 1 mM - 17 - seedling 54	18.2
UBQ10	Col 0 WT - 1 mM - 17 - seedling 54	18.28
ACT2	Col 0 WT - 1 mM - 17 - seedling 54	20.19
ACT2	Col 0 WT - 1 mM - 17 - seedling 54	20.21
ACT2	Col 0 WT - 1 mM - 17 - seedling 54	20.2
LVG	Col 0 WT - 1 mM - 17 - seedling 54	22.66
LVG	Col 0 WT - 1 mM - 17 - seedling 54	22.63
LVG	Col 0 WT - 1 mM - 17 - seedling 54	22.61
HVG	Col 0 WT - 1 mM - 17 - seedling 54	20.66
HVG	Col 0 WT - 1 mM - 17 - seedling 54	20.65
HVG	Col 0 WT - 1 mM - 17 - seedling 54	20.63
NRT2.1	Col 0 WT - 1 mM - 17 - seedling 54	20
NRT2.1	Col 0 WT - 1 mM - 17 - seedling 54	20.18
NRT2.1	Col 0 WT - 1 mM - 17 - seedling 54	20.17
NRT1.1	Col 0 WT - 1 mM - 17 - seedling 54	21.69
NRT1.1	Col 0 WT - 1 mM - 17 - seedling 54	21.69
NRT1.1	Col 0 WT - 1 mM - 17 - seedling 54	21.66
TGA1	Col 0 WT - 1 mM - 17 - seedling 54	23.47
TGA1	Col 0 WT - 1 mM - 17 - seedling 54	23.56
TGA1	Col 0 WT - 1 mM - 17 - seedling 54	23.52
PP2C	Col 0 WT - 1 mM - 17 - seedling 54	25.06
PP2C	Col 0 WT - 1 mM - 17 - seedling 54	25.04
PP2C	Col 0 WT - 1 mM - 17 - seedling 54	24.58
UBQ10	Col 0 WT - 1 mM - 18 - seedling 55	18.65
UBQ10	Col 0 WT - 1 mM - 18 - seedling 55	18.67
UBQ10	Col 0 WT - 1 mM - 18 - seedling 55	18.67
ACT2	Col 0 WT - 1 mM - 18 - seedling 55	20.34
ACT2	Col 0 WT - 1 mM - 18 - seedling 55	20.44
ACT2	Col 0 WT - 1 mM - 18 - seedling 55	20.43
LVG	Col 0 WT - 1 mM - 18 - seedling 55	22.87
LVG	Col 0 WT - 1 mM - 18 - seedling 55	22.81
LVG	Col 0 WT - 1 mM - 18 - seedling 55	22.83
HVG	Col 0 WT - 1 mM - 18 - seedling 55	20.61
HVG	Col 0 WT - 1 mM - 18 - seedling 55	20.7
HVG	Col 0 WT - 1 mM - 18 - seedling 55	20.65
NRT2.1	Col 0 WT - 1 mM - 18 - seedling 55	21.17
NRT2.1	Col 0 WT - 1 mM - 18 - seedling 55	21.21
NRT2.1	Col 0 WT - 1 mM - 18 - seedling 55	21.15
NRT1.1	Col 0 WT - 1 mM - 18 - seedling 55	21.8
NRT1.1	Col 0 WT - 1 mM - 18 - seedling 55	21.82
NRT1.1	Col 0 WT - 1 mM - 18 - seedling 55	21.76
TGA1	Col 0 WT - 1 mM - 18 - seedling 55	23.71
TGA1	Col 0 WT - 1 mM - 18 - seedling 55	23.72
TGA1	Col 0 WT - 1 mM - 18 - seedling 55	23.69
PP2C	Col 0 WT - 1 mM - 18 - seedling 55	25.67
PP2C	Col 0 WT - 1 mM - 18 - seedling 55	25.8
PP2C	Col 0 WT - 1 mM - 18 - seedling 55	25.48
UBQ10	Col 0 WT - 1 mM - 19 - seedling 56	18.23
UBQ10	Col 0 WT - 1 mM - 19 - seedling 56	18.29
UBQ10	Col 0 WT - 1 mM - 19 - seedling 56	18.29
ACT2	Col 0 WT - 1 mM - 19 - seedling 56	19.85
ACT2	Col 0 WT - 1 mM - 19 - seedling 56	19.88
ACT2	Col 0 WT - 1 mM - 19 - seedling 56	19.89
LVG	Col 0 WT - 1 mM - 19 - seedling 56	22.42
LVG	Col 0 WT - 1 mM - 19 - seedling 56	22.28
LVG	Col 0 WT - 1 mM - 19 - seedling 56	22.44
HVG	Col 0 WT - 1 mM - 19 - seedling 56	19.91
HVG	Col 0 WT - 1 mM - 19 - seedling 56	19.91
HVG	Col 0 WT - 1 mM - 19 - seedling 56	19.92
NRT2.1	Col 0 WT - 1 mM - 19 - seedling 56	20.16
NRT2.1	Col 0 WT - 1 mM - 19 - seedling 56	20.22
NRT2.1	Col 0 WT - 1 mM - 19 - seedling 56	20.16
NRT1.1	Col 0 WT - 1 mM - 19 - seedling 56	21.42
NRT1.1	Col 0 WT - 1 mM - 19 - seedling 56	21.34
NRT1.1	Col 0 WT - 1 mM - 19 - seedling 56	21.34
TGA1	Col 0 WT - 1 mM - 19 - seedling 56	23.01
TGA1	Col 0 WT - 1 mM - 19 - seedling 56	22.96
TGA1	Col 0 WT - 1 mM - 19 - seedling 56	23.02
PP2C	Col 0 WT - 1 mM - 19 - seedling 56	24.64
PP2C	Col 0 WT - 1 mM - 19 - seedling 56	24.73
PP2C	Col 0 WT - 1 mM - 19 - seedling 56	24.44
UBQ10	Col 0 WT - 1 mM - 20 - seedling 57	18.14
UBQ10	Col 0 WT - 1 mM - 20 - seedling 57	18.15
UBQ10	Col 0 WT - 1 mM - 20 - seedling 57	18.21
ACT2	Col 0 WT - 1 mM - 20 - seedling 57	19.76
ACT2	Col 0 WT - 1 mM - 20 - seedling 57	19.79
ACT2	Col 0 WT - 1 mM - 20 - seedling 57	19.86
LVG	Col 0 WT - 1 mM - 20 - seedling 57	22.43
LVG	Col 0 WT - 1 mM - 20 - seedling 57	22.5
LVG	Col 0 WT - 1 mM - 20 - seedling 57	22.45
HVG	Col 0 WT - 1 mM - 20 - seedling 57	19.8
HVG	Col 0 WT - 1 mM - 20 - seedling 57	19.76
HVG	Col 0 WT - 1 mM - 20 - seedling 57	19.84
NRT2.1	Col 0 WT - 1 mM - 20 - seedling 57	19.81
NRT2.1	Col 0 WT - 1 mM - 20 - seedling 57	19.81
NRT2.1	Col 0 WT - 1 mM - 20 - seedling 57	19.84
NRT1.1	Col 0 WT - 1 mM - 20 - seedling 57	21.07
NRT1.1	Col 0 WT - 1 mM - 20 - seedling 57	21.17
NRT1.1	Col 0 WT - 1 mM - 20 - seedling 57	21.1
TGA1	Col 0 WT - 1 mM - 20 - seedling 57	22.94
TGA1	Col 0 WT - 1 mM - 20 - seedling 57	22.93
TGA1	Col 0 WT - 1 mM - 20 - seedling 57	22.89
PP2C	Col 0 WT - 1 mM - 20 - seedling 57	24.64
PP2C	Col 0 WT - 1 mM - 20 - seedling 57	24.62
PP2C	Col 0 WT - 1 mM - 20 - seedling 57	24.17
UBQ10	Col 0 WT - 1 mM - 21 - seedling 58	18.19
UBQ10	Col 0 WT - 1 mM - 21 - seedling 58	18.16
UBQ10	Col 0 WT - 1 mM - 21 - seedling 58	18.2
ACT2	Col 0 WT - 1 mM - 21 - seedling 58	19.95
ACT2	Col 0 WT - 1 mM - 21 - seedling 58	19.89
ACT2	Col 0 WT - 1 mM - 21 - seedling 58	19.93
LVG	Col 0 WT - 1 mM - 21 - seedling 58	22.31
LVG	Col 0 WT - 1 mM - 21 - seedling 58	22.3
LVG	Col 0 WT - 1 mM - 21 - seedling 58	22.42
HVG	Col 0 WT - 1 mM - 21 - seedling 58	20.08
HVG	Col 0 WT - 1 mM - 21 - seedling 58	20.03
HVG	Col 0 WT - 1 mM - 21 - seedling 58	20.04
NRT2.1	Col 0 WT - 1 mM - 21 - seedling 58	20.09
NRT2.1	Col 0 WT - 1 mM - 21 - seedling 58	20.14
NRT2.1	Col 0 WT - 1 mM - 21 - seedling 58	20.12
NRT1.1	Col 0 WT - 1 mM - 21 - seedling 58	21.64
NRT1.1	Col 0 WT - 1 mM - 21 - seedling 58	21.62
NRT1.1	Col 0 WT - 1 mM - 21 - seedling 58	21.62
TGA1	Col 0 WT - 1 mM - 21 - seedling 58	23.02
TGA1	Col 0 WT - 1 mM - 21 - seedling 58	23.09
TGA1	Col 0 WT - 1 mM - 21 - seedling 58	23.02
PP2C	Col 0 WT - 1 mM - 21 - seedling 58	24.49
PP2C	Col 0 WT - 1 mM - 21 - seedling 58	24.54
PP2C	Col 0 WT - 1 mM - 21 - seedling 58	24.16
UBQ10	Col 0 WT - 1 mM - 23 - seedling 60	18.7
UBQ10	Col 0 WT - 1 mM - 23 - seedling 60	18.68
UBQ10	Col 0 WT - 1 mM - 23 - seedling 60	18.72
ACT2	Col 0 WT - 1 mM - 23 - seedling 60	20.76
ACT2	Col 0 WT - 1 mM - 23 - seedling 60	20.8
ACT2	Col 0 WT - 1 mM - 23 - seedling 60	20.76
LVG	Col 0 WT - 1 mM - 23 - seedling 60	23
LVG	Col 0 WT - 1 mM - 23 - seedling 60	22.98
LVG	Col 0 WT - 1 mM - 23 - seedling 60	22.98
HVG	Col 0 WT - 1 mM - 23 - seedling 60	20.88
HVG	Col 0 WT - 1 mM - 23 - seedling 60	20.88
HVG	Col 0 WT - 1 mM - 23 - seedling 60	20.86
NRT2.1	Col 0 WT - 1 mM - 23 - seedling 60	21.42
NRT2.1	Col 0 WT - 1 mM - 23 - seedling 60	21.3
NRT2.1	Col 0 WT - 1 mM - 23 - seedling 60	21.48
NRT1.1	Col 0 WT - 1 mM - 23 - seedling 60	21.95
NRT1.1	Col 0 WT - 1 mM - 23 - seedling 60	21.91
NRT1.1	Col 0 WT - 1 mM - 23 - seedling 60	21.97
TGA1	Col 0 WT - 1 mM - 23 - seedling 60	24.07
TGA1	Col 0 WT - 1 mM - 23 - seedling 60	24.09
TGA1	Col 0 WT - 1 mM - 23 - seedling 60	24.1
PP2C	Col 0 WT - 1 mM - 23 - seedling 60	25.79
PP2C	Col 0 WT - 1 mM - 23 - seedling 60	25.76
PP2C	Col 0 WT - 1 mM - 23 - seedling 60	25.54
UBQ10	Col 0 WT - 1 mM - 24 - seedling 61	17.97
UBQ10	Col 0 WT - 1 mM - 24 - seedling 61	18.04
UBQ10	Col 0 WT - 1 mM - 24 - seedling 61	18.09
ACT2	Col 0 WT - 1 mM - 24 - seedling 61	19.89
ACT2	Col 0 WT - 1 mM - 24 - seedling 61	20
ACT2	Col 0 WT - 1 mM - 24 - seedling 61	19.92
LVG	Col 0 WT - 1 mM - 24 - seedling 61	22.49
LVG	Col 0 WT - 1 mM - 24 - seedling 61	22.47
LVG	Col 0 WT - 1 mM - 24 - seedling 61	22.48
HVG	Col 0 WT - 1 mM - 24 - seedling 61	19.94
HVG	Col 0 WT - 1 mM - 24 - seedling 61	19.99
HVG	Col 0 WT - 1 mM - 24 - seedling 61	20
NRT2.1	Col 0 WT - 1 mM - 24 - seedling 61	20.42
NRT2.1	Col 0 WT - 1 mM - 24 - seedling 61	20.41
NRT2.1	Col 0 WT - 1 mM - 24 - seedling 61	20.34
NRT1.1	Col 0 WT - 1 mM - 24 - seedling 61	21.44
NRT1.1	Col 0 WT - 1 mM - 24 - seedling 61	21.48
NRT1.1	Col 0 WT - 1 mM - 24 - seedling 61	21.47
TGA1	Col 0 WT - 1 mM - 24 - seedling 61	23.25
TGA1	Col 0 WT - 1 mM - 24 - seedling 61	23.18
TGA1	Col 0 WT - 1 mM - 24 - seedling 61	23.27
PP2C	Col 0 WT - 1 mM - 24 - seedling 61	24.93
PP2C	Col 0 WT - 1 mM - 24 - seedling 61	24.89
PP2C	Col 0 WT - 1 mM - 24 - seedling 61	24.71
