Primer	Name	Cp
UBQ10	WT_1mM_seedling17	18.64
UBQ10	WT_1mM_seedling17	18.65
UBQ10	WT_1mM_seedling17	18.58
ACT2	WT_1mM_seedling17	20.33
ACT2	WT_1mM_seedling17	20.25
ACT2	WT_1mM_seedling17	20.23
LVG	WT_1mM_seedling17	22.66
LVG	WT_1mM_seedling17	22.67
LVG	WT_1mM_seedling17	22.64
HVG	WT_1mM_seedling17	21.01
HVG	WT_1mM_seedling17	21.02
HVG	WT_1mM_seedling17	20.95
NRT2.1	WT_1mM_seedling17	19.33
NRT2.1	WT_1mM_seedling17	19.3
NRT2.1	WT_1mM_seedling17	19.31
NRT1.1	WT_1mM_seedling17	21.63
NRT1.1	WT_1mM_seedling17	21.3
NRT1.1	WT_1mM_seedling17	21.43
TGA1	WT_1mM_seedling17	23.56
TGA1	WT_1mM_seedling17	23.68
TGA1	WT_1mM_seedling17	23.51
PP2C	WT_1mM_seedling17	24.94
PP2C	WT_1mM_seedling17	25
PP2C	WT_1mM_seedling17	25.03
UBQ10	WT_1mM_seedling25	18.33
UBQ10	WT_1mM_seedling25	18.48
UBQ10	WT_1mM_seedling25	18.27
ACT2	WT_1mM_seedling25	20.08
ACT2	WT_1mM_seedling25	20.07
ACT2	WT_1mM_seedling25	20.13
LVG	WT_1mM_seedling25	22.61
LVG	WT_1mM_seedling25	22.68
LVG	WT_1mM_seedling25	22.57
HVG	WT_1mM_seedling25	20.74
HVG	WT_1mM_seedling25	20.93
HVG	WT_1mM_seedling25	20.78
NRT2.1	WT_1mM_seedling25	19.55
NRT2.1	WT_1mM_seedling25	19.54
NRT2.1	WT_1mM_seedling25	19.57
NRT1.1	WT_1mM_seedling25	21.59
NRT1.1	WT_1mM_seedling25	21.59
NRT1.1	WT_1mM_seedling25	21.62
TGA1	WT_1mM_seedling25	23.44
TGA1	WT_1mM_seedling25	23.32
TGA1	WT_1mM_seedling25	23.32
PP2C	WT_1mM_seedling25	24.9
PP2C	WT_1mM_seedling25	24.79
PP2C	WT_1mM_seedling25	24.95
UBQ10	WT_1mM_seedling26	18.5
UBQ10	WT_1mM_seedling26	18.62
UBQ10	WT_1mM_seedling26	18.45
ACT2	WT_1mM_seedling26	20.11
ACT2	WT_1mM_seedling26	20.09
ACT2	WT_1mM_seedling26	20.25
LVG	WT_1mM_seedling26	22.73
LVG	WT_1mM_seedling26	22.68
LVG	WT_1mM_seedling26	22.68
HVG	WT_1mM_seedling26	20.84
HVG	WT_1mM_seedling26	21.26
HVG	WT_1mM_seedling26	20.94
NRT2.1	WT_1mM_seedling26	19.19
NRT2.1	WT_1mM_seedling26	19.24
NRT2.1	WT_1mM_seedling26	19.23
NRT1.1	WT_1mM_seedling26	21.33
NRT1.1	WT_1mM_seedling26	21.45
NRT1.1	WT_1mM_seedling26	21.34
TGA1	WT_1mM_seedling26	23.19
TGA1	WT_1mM_seedling26	23.16
TGA1	WT_1mM_seedling26	23.19
PP2C	WT_1mM_seedling26	24.8
PP2C	WT_1mM_seedling26	24.8
PP2C	WT_1mM_seedling26	24.75
UBQ10	WT_1mM_seedling19	18.32
UBQ10	WT_1mM_seedling19	18.49
UBQ10	WT_1mM_seedling19	18.32
ACT2	WT_1mM_seedling19	20.22
ACT2	WT_1mM_seedling19	20.27
ACT2	WT_1mM_seedling19	20.23
LVG	WT_1mM_seedling19	22.24
LVG	WT_1mM_seedling19	22.29
LVG	WT_1mM_seedling19	22.32
HVG	WT_1mM_seedling19	20.71
HVG	WT_1mM_seedling19	20.93
HVG	WT_1mM_seedling19	20.72
NRT2.1	WT_1mM_seedling19	18.46
NRT2.1	WT_1mM_seedling19	18.51
NRT2.1	WT_1mM_seedling19	18.53
NRT1.1	WT_1mM_seedling19	21
NRT1.1	WT_1mM_seedling19	21.04
NRT1.1	WT_1mM_seedling19	21.05
TGA1	WT_1mM_seedling19	23.18
TGA1	WT_1mM_seedling19	23.18
TGA1	WT_1mM_seedling19	23.13
PP2C	WT_1mM_seedling19	24.13
PP2C	WT_1mM_seedling19	24.15
PP2C	WT_1mM_seedling19	24.11
UBQ10	WT_1mM_seedling27	18.75
UBQ10	WT_1mM_seedling27	18.77
UBQ10	WT_1mM_seedling27	18.74
ACT2	WT_1mM_seedling27	20.33
ACT2	WT_1mM_seedling27	20.3
ACT2	WT_1mM_seedling27	20.57
LVG	WT_1mM_seedling27	22.61
LVG	WT_1mM_seedling27	22.81
LVG	WT_1mM_seedling27	22.69
HVG	WT_1mM_seedling27	20.89
HVG	WT_1mM_seedling27	21.19
HVG	WT_1mM_seedling27	20.98
