Primer	Name	Cp
ACT2	Col0_WT_1mM_22	28.16
LVG	Col0_WT_1mM_22	27.73
LVG	Col0_WT_1mM_22	27.73
LVG	Col0_WT_1mM_22	27.71
HVG	Col0_WT_1mM_22	28.28
HVG	Col0_WT_1mM_22	28.57
HVG	Col0_WT_1mM_22	28.91
NRT2.1	Col0_WT_1mM_22	30.84
NRT2.1	Col0_WT_1mM_22	30.98
NRT2.1	Col0_WT_1mM_22	31.91
NRT1.1	Col0_WT_1mM_22	26.94
NRT1.1	Col0_WT_1mM_22	26.79
NRT1.1	Col0_WT_1mM_22	26.72
TGA1	Col0_WT_1mM_22	31.72
TGA1	Col0_WT_1mM_22	31.96
TGA1	Col0_WT_1mM_22	32.08
PP2C	Col0_WT_1mM_22	31.09
PP2C	Col0_WT_1mM_22	30.81
PP2C	Col0_WT_1mM_22	
UBQ10	Col0_WT_1mM_15	19.63
UBQ10	Col0_WT_1mM_15	19.66
UBQ10	Col0_WT_1mM_15	19.71
ACT2	Col0_WT_1mM_15	24.47
ACT2	Col0_WT_1mM_15	24.59
ACT2	Col0_WT_1mM_15	24.58
LVG	Col0_WT_1mM_15	24.58
LVG	Col0_WT_1mM_15	24.56
LVG	Col0_WT_1mM_15	24.54
HVG	Col0_WT_1mM_15	24.78
HVG	Col0_WT_1mM_15	24.78
HVG	Col0_WT_1mM_15	24.81
NRT2.1	Col0_WT_1mM_15	27.34
NRT2.1	Col0_WT_1mM_15	27.88
NRT2.1	Col0_WT_1mM_15	27.49
NRT1.1	Col0_WT_1mM_15	23.61
NRT1.1	Col0_WT_1mM_15	23.68
NRT1.1	Col0_WT_1mM_15	23.69
TGA1	Col0_WT_1mM_15	29.67
TGA1	Col0_WT_1mM_15	29.81
TGA1	Col0_WT_1mM_15	29.61
PP2C	Col0_WT_1mM_15	27.63
PP2C	Col0_WT_1mM_15	27.92
PP2C	Col0_WT_1mM_15	27.8
UBQ10	Col0_WT_1mM_23	21.74
UBQ10	Col0_WT_1mM_23	21.81
UBQ10	Col0_WT_1mM_23	21.76
ACT2	Col0_WT_1mM_23	29.12
ACT2	Col0_WT_1mM_23	28.78
ACT2	Col0_WT_1mM_23	28.94
LVG	Col0_WT_1mM_23	27.93
LVG	Col0_WT_1mM_23	27.79
LVG	Col0_WT_1mM_23	27.82
HVG	Col0_WT_1mM_23	29.82
HVG	Col0_WT_1mM_23	30.44
HVG	Col0_WT_1mM_23	29.45
NRT2.1	Col0_WT_1mM_23	33.8
NRT2.1	Col0_WT_1mM_23	
NRT2.1	Col0_WT_1mM_23	33.28
NRT1.1	Col0_WT_1mM_23	27.15
NRT1.1	Col0_WT_1mM_23	27.1
NRT1.1	Col0_WT_1mM_23	27.18
TGA1	Col0_WT_1mM_23	
TGA1	Col0_WT_1mM_23	
TGA1	Col0_WT_1mM_23	32.5
PP2C	Col0_WT_1mM_23	31.83
PP2C	Col0_WT_1mM_23	32
PP2C	Col0_WT_1mM_23	
UBQ10	Col0_WT_1mM_16	20.06
UBQ10	Col0_WT_1mM_16	20.09
UBQ10	Col0_WT_1mM_16	20.05
ACT2	Col0_WT_1mM_16	25.2
ACT2	Col0_WT_1mM_16	25.31
ACT2	Col0_WT_1mM_16	25.35
LVG	Col0_WT_1mM_16	25.55
LVG	Col0_WT_1mM_16	25.52
LVG	Col0_WT_1mM_16	25.52
HVG	Col0_WT_1mM_16	26.02
HVG	Col0_WT_1mM_16	26.02
HVG	Col0_WT_1mM_16	26.04
NRT2.1	Col0_WT_1mM_16	28.77
NRT2.1	Col0_WT_1mM_16	29.01
NRT2.1	Col0_WT_1mM_16	28.96
NRT1.1	Col0_WT_1mM_16	24.57
NRT1.1	Col0_WT_1mM_16	24.55
NRT1.1	Col0_WT_1mM_16	24.69
TGA1	Col0_WT_1mM_16	31.57
TGA1	Col0_WT_1mM_16	30.66
TGA1	Col0_WT_1mM_16	30.87
PP2C	Col0_WT_1mM_16	28.71
PP2C	Col0_WT_1mM_16	28.97
PP2C	Col0_WT_1mM_16	
UBQ10	Col0_WT_1mM_24	20.87
UBQ10	Col0_WT_1mM_24	20.85
UBQ10	Col0_WT_1mM_24	20.92
ACT2	Col0_WT_1mM_24	27.16
ACT2	Col0_WT_1mM_24	27.08
ACT2	Col0_WT_1mM_24	27.45
LVG	Col0_WT_1mM_24	27.41
LVG	Col0_WT_1mM_24	27.29
LVG	Col0_WT_1mM_24	26.92
HVG	Col0_WT_1mM_24	28.26
HVG	Col0_WT_1mM_24	28.3
HVG	Col0_WT_1mM_24	28.59
NRT2.1	Col0_WT_1mM_24	31.31
NRT2.1	Col0_WT_1mM_24	31.01
NRT2.1	Col0_WT_1mM_24	31.78
NRT1.1	Col0_WT_1mM_24	26.05
NRT1.1	Col0_WT_1mM_24	26.25
NRT1.1	Col0_WT_1mM_24	26.06
TGA1	Col0_WT_1mM_24	31.82
TGA1	Col0_WT_1mM_24	31.92
TGA1	Col0_WT_1mM_24	32.24
PP2C	Col0_WT_1mM_24	30.91
PP2C	Col0_WT_1mM_24	
PP2C	Col0_WT_1mM_24	
