Primer	Name	Cp
ACT2	WT_1mM_seedling4	19.96
LVG	WT_1mM_seedling4	22.31
LVG	WT_1mM_seedling4	22.29
LVG	WT_1mM_seedling4	22.31
HVG	WT_1mM_seedling4	20.57
HVG	WT_1mM_seedling4	20.56
HVG	WT_1mM_seedling4	20.54
NRT2.1	WT_1mM_seedling4	18.91
NRT2.1	WT_1mM_seedling4	18.92
NRT2.1	WT_1mM_seedling4	18.94
NRT1.1	WT_1mM_seedling4	21.03
NRT1.1	WT_1mM_seedling4	21.06
NRT1.1	WT_1mM_seedling4	21.07
TGA1	WT_1mM_seedling4	23.04
TGA1	WT_1mM_seedling4	23.01
TGA1	WT_1mM_seedling4	23.06
PP2C	WT_1mM_seedling4	24.66
PP2C	WT_1mM_seedling4	24.63
PP2C	WT_1mM_seedling4	24.68
UBQ10	WT_1mM_seedling12	18.34
UBQ10	WT_1mM_seedling12	18.43
UBQ10	WT_1mM_seedling12	18.48
ACT2	WT_1mM_seedling12	19.71
ACT2	WT_1mM_seedling12	19.75
ACT2	WT_1mM_seedling12	19.73
LVG	WT_1mM_seedling12	22.02
LVG	WT_1mM_seedling12	21.99
LVG	WT_1mM_seedling12	22.01
HVG	WT_1mM_seedling12	19.98
HVG	WT_1mM_seedling12	19.99
HVG	WT_1mM_seedling12	19.99
NRT2.1	WT_1mM_seedling12	18.69
NRT2.1	WT_1mM_seedling12	18.67
NRT2.1	WT_1mM_seedling12	18.65
NRT1.1	WT_1mM_seedling12	20.6
NRT1.1	WT_1mM_seedling12	20.68
NRT1.1	WT_1mM_seedling12	20.62
TGA1	WT_1mM_seedling12	22.68
TGA1	WT_1mM_seedling12	22.79
TGA1	WT_1mM_seedling12	22.74
PP2C	WT_1mM_seedling12	24.04
PP2C	WT_1mM_seedling12	24.2
PP2C	WT_1mM_seedling12	24.13
UBQ10	WT_1mM_seedling13	18.48
UBQ10	WT_1mM_seedling13	18.35
UBQ10	WT_1mM_seedling13	18.51
ACT2	WT_1mM_seedling13	19.95
ACT2	WT_1mM_seedling13	20.01
ACT2	WT_1mM_seedling13	19.98
LVG	WT_1mM_seedling13	22.14
LVG	WT_1mM_seedling13	22.21
LVG	WT_1mM_seedling13	22.27
HVG	WT_1mM_seedling13	20.49
HVG	WT_1mM_seedling13	20.51
HVG	WT_1mM_seedling13	20.51
NRT2.1	WT_1mM_seedling13	18.57
NRT2.1	WT_1mM_seedling13	18.61
NRT2.1	WT_1mM_seedling13	18.54
NRT1.1	WT_1mM_seedling13	20.96
NRT1.1	WT_1mM_seedling13	20.98
NRT1.1	WT_1mM_seedling13	20.9
TGA1	WT_1mM_seedling13	23
TGA1	WT_1mM_seedling13	23.01
TGA1	WT_1mM_seedling13	23.05
PP2C	WT_1mM_seedling13	24.33
PP2C	WT_1mM_seedling13	24.3
PP2C	WT_1mM_seedling13	24.3
UBQ10	WT_1mM_seedling6	18.7
UBQ10	WT_1mM_seedling6	18.76
UBQ10	WT_1mM_seedling6	18.77
ACT2	WT_1mM_seedling6	20.51
ACT2	WT_1mM_seedling6	20.48
ACT2	WT_1mM_seedling6	20.54
LVG	WT_1mM_seedling6	22.84
LVG	WT_1mM_seedling6	22.75
LVG	WT_1mM_seedling6	22.76
HVG	WT_1mM_seedling6	21.1
HVG	WT_1mM_seedling6	21.2
HVG	WT_1mM_seedling6	21.27
NRT2.1	WT_1mM_seedling6	19.21
NRT2.1	WT_1mM_seedling6	19.15
NRT2.1	WT_1mM_seedling6	19.19
NRT1.1	WT_1mM_seedling6	21.49
NRT1.1	WT_1mM_seedling6	21.46
NRT1.1	WT_1mM_seedling6	21.49
TGA1	WT_1mM_seedling6	23.72
TGA1	WT_1mM_seedling6	23.62
TGA1	WT_1mM_seedling6	23.65
PP2C	WT_1mM_seedling6	24.77
PP2C	WT_1mM_seedling6	24.83
PP2C	WT_1mM_seedling6	24.89
UBQ10	WT_1mM_seedling7	18.75
UBQ10	WT_1mM_seedling7	18.76
UBQ10	WT_1mM_seedling7	18.84
ACT2	WT_1mM_seedling7	20.23
ACT2	WT_1mM_seedling7	20.25
ACT2	WT_1mM_seedling7	20.26
LVG	WT_1mM_seedling7	22.7
LVG	WT_1mM_seedling7	22.68
LVG	WT_1mM_seedling7	22.66
HVG	WT_1mM_seedling7	20.94
HVG	WT_1mM_seedling7	20.91
HVG	WT_1mM_seedling7	20.94
NRT2.1	WT_1mM_seedling7	19.13
NRT2.1	WT_1mM_seedling7	19.06
NRT2.1	WT_1mM_seedling7	19.13
NRT1.1	WT_1mM_seedling7	21.5
NRT1.1	WT_1mM_seedling7	21.52
NRT1.1	WT_1mM_seedling7	21.49
TGA1	WT_1mM_seedling7	23.45
TGA1	WT_1mM_seedling7	23.43
TGA1	WT_1mM_seedling7	23.46
PP2C	WT_1mM_seedling7	24.81
PP2C	WT_1mM_seedling7	24.83
PP2C	WT_1mM_seedling7	24.75
UBQ10	WT_1mM_seedling15	18.77
UBQ10	WT_1mM_seedling15	18.81
UBQ10	WT_1mM_seedling15	18.79
ACT2	WT_1mM_seedling15	20.32
ACT2	WT_1mM_seedling15	20.43
ACT2	WT_1mM_seedling15	20.32
LVG	WT_1mM_seedling15	22.65
LVG	WT_1mM_seedling15	22.66
LVG	WT_1mM_seedling15	22.71
HVG	WT_1mM_seedling15	21.07
HVG	WT_1mM_seedling15	21.06
HVG	WT_1mM_seedling15	21.03
NRT2.1	WT_1mM_seedling15	18.97
NRT2.1	WT_1mM_seedling15	18.97
NRT2.1	WT_1mM_seedling15	18.96
NRT1.1	WT_1mM_seedling15	21.29
NRT1.1	WT_1mM_seedling15	21.43
NRT1.1	WT_1mM_seedling15	21.42
TGA1	WT_1mM_seedling15	23.49
TGA1	WT_1mM_seedling15	23.44
TGA1	WT_1mM_seedling15	23.51
PP2C	WT_1mM_seedling15	24.84
PP2C	WT_1mM_seedling15	24.89
PP2C	WT_1mM_seedling15	24.87
UBQ10	WT_1mM_seedling8	18.57
UBQ10	WT_1mM_seedling8	18.54
UBQ10	WT_1mM_seedling8	18.6
ACT2	WT_1mM_seedling8	20.15
ACT2	WT_1mM_seedling8	20.23
ACT2	WT_1mM_seedling8	20.23
LVG	WT_1mM_seedling8	22.55
LVG	WT_1mM_seedling8	22.6
LVG	WT_1mM_seedling8	22.57
HVG	WT_1mM_seedling8	20.78
HVG	WT_1mM_seedling8	20.78
HVG	WT_1mM_seedling8	20.8
NRT2.1	WT_1mM_seedling8	19.05
NRT2.1	WT_1mM_seedling8	19.04
NRT2.1	WT_1mM_seedling8	19.15
NRT1.1	WT_1mM_seedling8	21.24
NRT1.1	WT_1mM_seedling8	21.28
NRT1.1	WT_1mM_seedling8	21.34
TGA1	WT_1mM_seedling8	23.32
TGA1	WT_1mM_seedling8	23.32
TGA1	WT_1mM_seedling8	23.31
PP2C	WT_1mM_seedling8	24.6
PP2C	WT_1mM_seedling8	24.72
PP2C	WT_1mM_seedling8	24.63
UBQ10	WT_1mM_seedling16	18.56
UBQ10	WT_1mM_seedling16	18.6
UBQ10	WT_1mM_seedling16	18.59
ACT2	WT_1mM_seedling16	20.16
ACT2	WT_1mM_seedling16	20.22
ACT2	WT_1mM_seedling16	20.23
LVG	WT_1mM_seedling16	22.69
LVG	WT_1mM_seedling16	22.73
LVG	WT_1mM_seedling16	22.66
HVG	WT_1mM_seedling16	20.97
HVG	WT_1mM_seedling16	20.97
HVG	WT_1mM_seedling16	20.92
NRT2.1	WT_1mM_seedling16	19.25
NRT2.1	WT_1mM_seedling16	19.26
NRT2.1	WT_1mM_seedling16	19.31
NRT1.1	WT_1mM_seedling16	21.32
NRT1.1	WT_1mM_seedling16	21.33
NRT1.1	WT_1mM_seedling16	21.27
TGA1	WT_1mM_seedling16	23.47
TGA1	WT_1mM_seedling16	23.48
TGA1	WT_1mM_seedling16	23.44
PP2C	WT_1mM_seedling16	24.66
PP2C	WT_1mM_seedling16	25.05
PP2C	WT_1mM_seedling16	24.81
