number	plate_info	length_px	scale_px_mm	seedling	genotype	KNO3	plate	lateralRoots
6	col0_10mM002.tif:0003-1574-1462:Blue	671.948	24.5	seedling18	Col0_WT	10mM	plate3	7
7	col0_10mM002.tif:0003-1620-1572:Blue	739.462	24.5	seedling19	Col0_WT	10mM	plate3	9
8	col0_10mM002.tif:0003-1692-1771:Blue	892.119	24.5	seedling20	Col0_WT	10mM	plate3	8
1	col0_10mM002.tif:0003-1646-2649:Blue	811.387	24.5	seedling21	Col0_WT	10mM	plate4	12
2	col0_10mM002.tif:0003-1600-2896:Blue	678.653	24.5	seedling22	Col0_WT	10mM	plate4	7
3	col0_10mM002.tif:0003-1646-3034:Blue	801.292	24.5	seedling23	Col0_WT	10mM	plate4	8
4	col0_10mM002.tif:0003-1548-3154:Blue	576.78	24.5	seedling24	Col0_WT	10mM	plate4	3
5	col0_10mM002.tif:0003-1601-3376:Blue	698.151	24.5	seedling25	Col0_WT	10mM	plate4	9
6	col0_10mM002.tif:0003-1611-3588:Blue	730.696	24.5	seedling26	Col0_WT	10mM	plate4	8
7	col0_10mM002.tif:0003-1580-3755:Blue	721.903	24.5	seedling27	Col0_WT	10mM	plate4	9
1	nrt21_1mM007.tif:0001-2944-0545:Red	975.806	24.5	seedling1	nrt2.1_KO	1mM	plate1	6
2	nrt21_1mM007.tif:0001-2897-0797:Red	939.32	24.5	seedling2	nrt2.1_KO	1mM	plate1	5
3	nrt21_1mM007.tif:0001-2968-1092:Red	1045.081	24.5	seedling3	nrt2.1_KO	1mM	plate1	4
4	nrt21_1mM007.tif:0001-2936-1465:Red	992.526	24.5	seedling4	nrt2.1_KO	1mM	plate1	3
5	nrt21_1mM007.tif:0001-2941-1707:Red	972.809	24.5	seedling5	nrt2.1_KO	1mM	plate1	5
6	nrt21_1mM007.tif:0001-2954-2022:Red	1006.207	24.5	seedling6	nrt2.1_KO	1mM	plate1	5
7	nrt21_1mM007.tif:0001-2929-2277:Red	874.967	24.5	seedling7	nrt2.1_KO	1mM	plate1	4
8	nrt21_1mM007.tif:0001-2944-2545:Red	804.051	24.5	seedling8	nrt2.1_KO	1mM	plate1	2
1	nrt21_1mM007.tif:0001-2978-3642:Red	792.416	24.5	seedling9	nrt2.1_KO	1mM	plate2	2
2	nrt21_1mM007.tif:0001-3059-3926:Red	926.408	24.5	seedling10	nrt2.1_KO	1mM	plate2	5
3	nrt21_1mM007.tif:0001-3047-4265:Red	878.804	24.5	seedling11	nrt2.1_KO	1mM	plate2	2
4	nrt21_1mM007.tif:0001-3073-4510:Red	935.975	24.5	seedling12	nrt2.1_KO	1mM	plate2	5
5	nrt21_1mM007.tif:0001-2994-4830:Red	748.276	24.5	seedling13	nrt2.1_KO	1mM	plate2	1
6	nrt21_1mM007.tif:0001-3076-5120:Red	955.868	24.5	seedling14	nrt2.1_KO	1mM	plate2	4
7	nrt21_1mM007.tif:0001-3107-5408:Red	957.427	24.5	seedling15	nrt2.1_KO	1mM	plate2	3
8	nrt21_1mM007.tif:0001-3088-5665:Red	958.743	24.5	seedling16	nrt2.1_KO	1mM	plate2	4
1	nrt21_1mM008.tif:0001-2807-0670:Red	872.099	24.5	seedling17	nrt2.1_KO	1mM	plate3	3
2	nrt21_1mM008.tif:0001-2848-0911:Red	928.19	24.5	seedling18	nrt2.1_KO	1mM	plate3	2
3	nrt21_1mM008.tif:0001-2798-1195:Red	816.68	24.5	seedling19	nrt2.1_KO	1mM	plate3	3
4	nrt21_1mM008.tif:0001-2861-1445:Red	924.99	24.5	seedling20	nrt2.1_KO	1mM	plate3	4
5	nrt21_1mM008.tif:0001-2834-1777:Red	808.465	24.5	seedling21	nrt2.1_KO	1mM	plate3	4
6	nrt21_1mM008.tif:0001-2906-2061:Red	934.653	24.5	seedling22	nrt2.1_KO	1mM	plate3	7
7	nrt21_1mM008.tif:0001-2943-2334:Red	990.987	24.5	seedling23	nrt2.1_KO	1mM	plate3	6
8	nrt21_1mM008.tif:0001-2847-2650:Red	817.508	24.5	seedling24	nrt2.1_KO	1mM	plate3	2
1	nrt21_1mM008.tif:0001-3067-3657:Red	926.087	24.5	seedling25	nrt2.1_KO	1mM	plate4	3
2	nrt21_1mM008.tif:0001-3041-3946:Red	878.387	24.5	seedling26	nrt2.1_KO	1mM	plate4	3
3	nrt21_1mM008.tif:0001-3106-4254:Red	1008.157	24.5	seedling27	nrt2.1_KO	1mM	plate4	5
4	nrt21_1mM008.tif:0001-3182-4525:Red	1166.482	24.5	seedling28	nrt2.1_KO	1mM	plate4	7
5	nrt21_1mM008.tif:0001-3070-5132:Red	906.751	24.5	seedling29	nrt2.1_KO	1mM	plate4	5
6	nrt21_1mM008.tif:0001-3049-5416:Red	907.13	24.5	seedling30	nrt2.1_KO	1mM	plate4	4
7	nrt21_1mM008.tif:0001-3068-5711:Red	889.429	24.5	seedling31	nrt2.1_KO	1mM	plate4	4
1	nrt21_10mM003.tif:0001-2169-0621:Red	874.542	24.5	seedling1	nrt2.1_KO	10mM	plate1	3
2	nrt21_10mM003.tif:0001-2201-0888:Red	885.549	24.5	seedling2	nrt2.1_KO	10mM	plate1	4
3	nrt21_10mM003.tif:0001-2154-1183:Red	792.523	24.5	seedling3	nrt2.1_KO	10mM	plate1	3
4	nrt21_10mM003.tif:0001-2232-1421:Red	1030.132	24.5	seedling4	nrt2.1_KO	10mM	plate1	7
5	nrt21_10mM003.tif:0001-2211-1760:Red	902.824	24.5	seedling5	nrt2.1_KO	10mM	plate1	5
6	nrt21_10mM003.tif:0001-2269-2034:Red	1011.591	24.5	seedling6	nrt2.1_KO	10mM	plate1	8
7	nrt21_10mM003.tif:0001-2377-2328:Red	1166.362	24.5	seedling7	nrt2.1_KO	10mM	plate1	9
8	nrt21_10mM003.tif:0001-2314-2575:Red	1114.212	24.5	seedling8	nrt2.1_KO	10mM	plate1	7
1	nrt21_10mM003.tif:0001-2274-3592:Red	1143.19	24.5	seedling9	nrt2.1_KO	10mM	plate2	8
2	nrt21_10mM003.tif:0001-2165-3904:Red	847.955	24.5	seedling10	nrt2.1_KO	10mM	plate2	3
3	nrt21_10mM003.tif:0001-2279-4168:Red	1095.67	24.5	seedling11	nrt2.1_KO	10mM	plate2	6
4	nrt21_10mM003.tif:0001-2246-4398:Red	1119.425	24.5	seedling12	nrt2.1_KO	10mM	plate2	8
5	nrt21_10mM003.tif:0001-2314-4748:Red	1166.727	24.5	seedling13	nrt2.1_KO	10mM	plate2	10
6	nrt21_10mM003.tif:0001-2267-4935:Red	1113.177	24.5	seedling14	nrt2.1_KO	10mM	plate2	8
7	nrt21_10mM003.tif:0001-2412-5546:Red	1362.516	24.5	seedling15	nrt2.1_KO	10mM	plate2	10
1	nrt21_10mM004.tif:0001-2950-0599:Red	1140.355	24.5	seedling16	nrt2.1_KO	10mM	plate3	7
2	nrt21_10mM004.tif:0001-2982-0895:Red	1122.53	24.5	seedling17	nrt2.1_KO	10mM	plate3	6
3	nrt21_10mM004.tif:0001-2984-1178:Red	1148.287	24.5	seedling18	nrt2.1_KO	10mM	plate3	11
4	nrt21_10mM004.tif:0001-2850-1540:Red	887.766	24.5	seedling19	nrt2.1_KO	10mM	plate3	7
5	nrt21_10mM004.tif:0001-2850-1790:Red	882.733	24.5	seedling20	nrt2.1_KO	10mM	plate3	4
6	nrt21_10mM004.tif:0001-2848-2031:Red	903.546	24.5	seedling21	nrt2.1_KO	10mM	plate3	8
7	nrt21_10mM004.tif:0001-2916-2419:Red	1127.478	24.5	seedling22	nrt2.1_KO	10mM	plate3	10
8	nrt21_10mM004.tif:0001-2807-2665:Red	815.607	24.5	seedling23	nrt2.1_KO	10mM	plate3	3
1	nrt21_10mM004.tif:0001-2836-3745:Red	831.507	24.5	seedling24	nrt2.1_KO	10mM	plate4	4
2	nrt21_10mM004.tif:0001-2819-4022:Red	776.987	24.5	seedling25	nrt2.1_KO	10mM	plate4	3
3	nrt21_10mM004.tif:0001-2986-4408:Red	1190.538	24.5	seedling26	nrt2.1_KO	10mM	plate4	9
4	nrt21_10mM004.tif:0001-2989-4641:Red	1167.702	24.5	seedling27	nrt2.1_KO	10mM	plate4	9
5	nrt21_10mM004.tif:0001-2914-4901:Red	994.508	24.5	seedling28	nrt2.1_KO	10mM	plate4	7
6	nrt21_10mM004.tif:0001-2980-5529:Red	1132.011	24.5	seedling29	nrt2.1_KO	10mM	plate4	9
7	nrt21_10mM004.tif:0001-2889-5788:Red	938.928	24.5	seedling30	nrt2.1_KO	10mM	plate4	5
