number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
2	pNRT21_LUC_10mM_N2_luc.tif:0238-0146	3224	327.505	1055877	294	1055877	401.684	seedling104	pNRT2.1:LUC	10mM	plate14
3	pNRT21_LUC_10mM_N2_luc.tif:0235-0188	3211	344.086	1104859	309	1104859	400.136	seedling105	pNRT2.1:LUC	10mM	plate14
4	pNRT21_LUC_10mM_N2_luc.tif:0244-0276	3302	358.75	1184592	314	1184592	411.9	seedling106	pNRT2.1:LUC	10mM	plate14
5	pNRT21_LUC_10mM_N2_luc.tif:0209-0332	2727	331.045	902761	297	902761	340.293	seedling107	pNRT2.1:LUC	10mM	plate14
6	pNRT21_LUC_10mM_N2_luc.tif:0225-0361	3163	327.71	1036546	294	1036546	394.485	seedling108	pNRT2.1:LUC	10mM	plate14
7	pNRT21_LUC_10mM_N2_luc.tif:0215-0433	2885	337.08	972477	305	972477	359.963	seedling109	pNRT2.1:LUC	10mM	plate14
8	pNRT21_LUC_10mM_N2_luc.tif:0359-0235	1679	279.64	469515	280	469515	209.301	background	pNRT2.1:LUC	10mM	plate14
9	pNRT21_LUC_10mM_N2_luc.tif:0362-0391	1886	279.678	527472	280	527472	234.383	background	pNRT2.1:LUC	10mM	plate14
10	pNRT21_LUC_10mM_N2_luc.tif:0384-0076	1577	277.708	437946	278	437946	195.881	background	pNRT2.1:LUC	10mM	plate14
1	pNRT21_LUC_10mM_N3_luc.tif:0193-0026	2010	332.198	667718	301	667718	249.351	seedling110	pNRT2.1:LUC	10mM	plate15
2	pNRT21_LUC_10mM_N3_luc.tif:0242-0078	2890	318.867	921527	293	921527	360.812	seedling111	pNRT2.1:LUC	10mM	plate15
3	pNRT21_LUC_10mM_N3_luc.tif:0222-0145	2598	313.625	814799	291	814799	325.95	seedling112	pNRT2.1:LUC	10mM	plate15
4	pNRT21_LUC_10mM_N3_luc.tif:0245-0197	3179	315.472	1002884	288	1002884	396.301	seedling113	pNRT2.1:LUC	10mM	plate15
5	pNRT21_LUC_10mM_N3_luc.tif:0252-0257	3046	348.365	1061119	311	1061119	380.014	seedling114	pNRT2.1:LUC	10mM	plate15
6	pNRT21_LUC_10mM_N3_luc.tif:0284-0350	3352	360.803	1209413	312	1209413	418.285	seedling115	pNRT2.1:LUC	10mM	plate15
7	pNRT21_LUC_10mM_N3_luc.tif:0239-0399	2959	318.555	942605	290	942605	368.581	seedling116	pNRT2.1:LUC	10mM	plate15
8	pNRT21_LUC_10mM_N3_luc.tif:0240-0448	2799	350.609	981355	312	981355	349.779	seedling117	pNRT2.1:LUC	10mM	plate15
9	pNRT21_LUC_10mM_N3_luc.tif:0386-0302	1786	279.675	499500	280	499500	222.085	background	pNRT2.1:LUC	10mM	plate15
10	pNRT21_LUC_10mM_N3_luc.tif:0379-0131	1931	278.828	538416	279	538416	240.987	background	pNRT2.1:LUC	10mM	plate15
11	pNRT21_LUC_10mM_N3_luc.tif:0385-0455	1939	279.52	541989	280	541989	241.304	background	pNRT2.1:LUC	10mM	plate15
