number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
4	line63_1mM_plate3_luc.tif:0184-0375	1526	1224.898	1869194	1094	1869194	190.199	seedling20	line63	1mM	plate3
5	line63_1mM_plate3_luc.tif:0180-0431	1533	1421.983	2179900	1149	2179900	190.493	seedling21	line63	1mM	plate3
6	line63_1mM_plate3_luc.tif:0189-0489	1606	1430.024	2296618	1170	2296618	199.799	seedling22	line63	1mM	plate3
7	line63_1mM_plate3_luc.tif:0170-0546	1335	1317.696	1759124	1130	1759124	166.12	seedling23	line63	1mM	plate3
8	line63_1mM_plate3_luc.tif:0187-0598	1596	1430.552	2283161	1215	2283161	197.813	seedling24	line63	1mM	plate3
9	line63_1mM_plate3_luc.tif:0189-0306	1479	1047.323	1548990	1047	1548990	183.369	background	line63	1mM	plate3
10	line63_1mM_plate3_luc.tif:0181-0405	1367	1046.811	1430991	1047	1430991	169.691	background	line63	1mM	plate3
11	line63_1mM_plate3_luc.tif:0174-0567	1364	1044.691	1424958	1045	1424958	169.371	background	line63	1mM	plate3
1	line63_1mM_plate4_luc.tif:0150-0210	1335	1353.917	1807479	1127	1807479	166.465	seedling25	line63	1mM	plate4
2	line63_1mM_plate4_luc.tif:0159-0255	1430	1376.392	1968241	1146	1968241	177.945	seedling26	line63	1mM	plate4
3	line63_1mM_plate4_luc.tif:0155-0307	1309	1244.089	1628512	1094	1628512	163.03	seedling27	line63	1mM	plate4
4	line63_1mM_plate4_luc.tif:0164-0351	1451	1307.223	1896780	1105	1896780	179.876	seedling28	line63	1mM	plate4
5	line63_1mM_plate4_luc.tif:0170-0415	1456	1308.577	1905288	1111	1905288	181.148	seedling29	line63	1mM	plate4
6	line63_1mM_plate4_luc.tif:0149-0470	1319	1223.822	1614221	1097	1614221	163.09	seedling30	line63	1mM	plate4
7	line63_1mM_plate4_luc.tif:0185-0523	1649	1446.354	2385038	1187	2385038	205.531	seedling31	line63	1mM	plate4
8	line63_1mM_plate4_luc.tif:0174-0567	1632	1290.413	2105954	1115	2105954	203.329	seedling32	line63	1mM	plate4
9	line63_1mM_plate4_luc.tif:0154-0281	1293	1041.942	1347231	1041	1347231	160.593	background	line63	1mM	plate4
10	line63_1mM_plate4_luc.tif:0164-0380	1376	1039.568	1430445	1039	1430445	171.123	background	line63	1mM	plate4
11	line63_1mM_plate4_luc.tif:0167-0492	1388	1043.124	1447856	1043	1447856	172.445	background	line63	1mM	plate4
1	line64_1mM_plate1_luc.tif:0164-0153	1315	1327.909	1746200	1113	1746200	163.676	seedling1	line64	1mM	plate1
2	line64_1mM_plate1_luc.tif:0178-0209	1599	1514.063	2420986	1180	2420986	199.66	seedling2	line64	1mM	plate1
3	line64_1mM_plate1_luc.tif:0168-0264	1447	1272.8	1841742	1106	1841742	180.115	seedling3	line64	1mM	plate1
