number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20230217_pNRT21_rep2_N5_1mM_luc.tif:0182-0100	1404	373.181	523946	316	523946	175.545	seedling33	pNRT2.1:LUC	1mM	plate5
2	20230217_pNRT21_rep2_N5_1mM_luc.tif:0166-0143	1077	329.357	354718	302	354718	133.499	seedling34	pNRT2.1:LUC	1mM	plate5
3	20230217_pNRT21_rep2_N5_1mM_luc.tif:0183-0190	1447	377.867	546773	324	546773	179.793	seedling35	pNRT2.1:LUC	1mM	plate5
4	20230217_pNRT21_rep2_N5_1mM_luc.tif:0176-0237	1281	369.886	473824	328	473824	159.406	seedling36	pNRT2.1:LUC	1mM	plate5
5	20230217_pNRT21_rep2_N5_1mM_luc.tif:0192-0279	1564	433.317	677708	375	677708	194.596	seedling37	pNRT2.1:LUC	1mM	plate5
6	20230217_pNRT21_rep2_N5_1mM_luc.tif:0197-0323	1647	383.06	630900	336	630900	205.875	seedling38	pNRT2.1:LUC	1mM	plate5
7	20230217_pNRT21_rep2_N5_1mM_luc.tif:0181-0364	1422	404.404	575062	349	575062	176.535	seedling39	pNRT2.1:LUC	1mM	plate5
8	20230217_pNRT21_rep2_N5_1mM_luc.tif:0195-0414	1595	388.25	619259	332	619259	198.477	seedling40	pNRT2.1:LUC	1mM	plate5
9	20230217_pNRT21_rep2_N5_1mM_luc.tif:0396-0441	1228	269.235	330621	269	330621	152.78	background	pNRT2.1:LUC	1mM	plate5
10	20230217_pNRT21_rep2_N5_1mM_luc.tif:0405-0235	1138	269.392	306568	269	306568	141	background	pNRT2.1:LUC	1mM	plate5
11	20230217_pNRT21_rep2_N5_1mM_luc.tif:0401-0141	1421	269.184	382510	269	382510	176.325	background	pNRT2.1:LUC	1mM	plate5
1	20230217_pNRT21_rep2_N6_1mM_luc.tif:0180-0091	1329	395.067	525044	329	525044	164.798	seedling41	pNRT2.1:LUC	1mM	plate6
2	20230217_pNRT21_rep2_N6_1mM_luc.tif:0178-0135	1238	362.502	448778	321	448778	153.548	seedling42	pNRT2.1:LUC	1mM	plate6
