number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
6	p35S_1mM_plate1_luc.tif:0163-0493	1481	1390.038	2058647	1168	2058647	1	184.467	seedling6	35s:luc	1mM	plate1
7	p35S_1mM_plate1_luc.tif:0169-0527	1670	1419.793	2371055	1165	2371055	1	207.689	seedling7	35s:luc	1mM	plate1
8	p35S_1mM_plate1_luc.tif:0173-0580	1638	1397.748	2289512	1180	2289512	1	203.82	seedling8	35s:luc	1mM	plate1
9	p35S_1mM_plate1_luc.tif:0167-0252	1462	1051.466	1537243	1051	1537243	1	181.836	background	35s:luc	1mM	plate1
10	p35S_1mM_plate1_luc.tif:0162-0351	1321	1050.868	1388197	1051	1388197	1	164.695	background	35s:luc	1mM	plate1
11	p35S_1mM_plate1_luc.tif:0175-0615	1417	1041.237	1475433	1041	1475433	1	176.325	background	35s:luc	1mM	plate1
1	p35S_1mM_plate2_luc.tif:0148-0271	1229	1232.171	1514338	1092	1514338	1	152.701	seedling9	35s:luc	1mM	plate2
2	p35S_1mM_plate2_luc.tif:0152-0307	1251	1251.222	1565279	1098	1565279	1	155.515	seedling10	35s:luc	1mM	plate2
3	p35S_1mM_plate2_luc.tif:0182-0357	1735	1430.654	2482184	1144	2482184	1	215.977	seedling11	35s:luc	1mM	plate2
4	p35S_1mM_plate2_luc.tif:0182-0408	1731	1391.7	2409032	1140	2409032	1	215.784	seedling12	35s:luc	1mM	plate2
5	p35S_1mM_plate2_luc.tif:0174-0477	1679	1422.952	2389136	1173	2389136	1	209.386	seedling13	35s:luc	1mM	plate2
6	p35S_1mM_plate2_luc.tif:0172-0514	1625	1388.113	2255683	1168	2255683	1	202.398	seedling14	35s:luc	1mM	plate2
7	p35S_1mM_plate2_luc.tif:0182-0569	1723	1494.759	2575469	1190	2575469	1	214.665	seedling15	35s:luc	1mM	plate2
8	p35S_1mM_plate2_luc.tif:0166-0628	1512	1361.986	2059323	1162	2059323	1	188.375	seedling16	35s:luc	1mM	plate2
9	p35S_1mM_plate2_luc.tif:0163-0335	1422	1050.42	1493697	1051	1493697	1	176.658	background	35s:luc	1mM	plate2
10	p35S_1mM_plate2_luc.tif:0177-0541	1541	1055.79	1626973	1055	1626973	1	191.585	background	35s:luc	1mM	plate2
11	p35S_1mM_plate2_luc.tif:0187-0652	1582	1042.104	1648609	1041	1648609	1	196.792	background	35s:luc	1mM	plate2
1	p35S_1mM_plate3_luc.tif:0146-0221	1251	1288.585	1612020	1108	1612020	1	155.536	seedling17	35s:luc	1mM	plate3
2	p35S_1mM_plate3_luc.tif:0155-0269	1424	1295.936	1845413	1115	1845413	1	176.955	seedling18	35s:luc	1mM	plate3
3	p35S_1mM_plate3_luc.tif:0145-0321	1201	1245.742	1496136	1099	1496136	1	149.032	seedling19	35s:luc	1mM	plate3
4	p35S_1mM_plate3_luc.tif:0148-0368	1249	1308.164	1633897	1105	1633897	1	155.042	seedling20	35s:luc	1mM	plate3
5	p35S_1mM_plate3_luc.tif:0170-0419	1566	1357.971	2126583	1129	2126583	1	195.2	seedling21	35s:luc	1mM	plate3
6	p35S_1mM_plate3_luc.tif:0182-0482	1581	1379.285	2180649	1151	2180649	1	197.354	seedling22	35s:luc	1mM	plate3
7	p35S_1mM_plate3_luc.tif:0180-0524	1503	1370.453	2059791	1149	2059791	1	186.629	seedling23	35s:luc	1mM	plate3
8	p35S_1mM_plate3_luc.tif:0185-0586	1619	1378.58	2231921	1163	2231921	1	201.845	seedling24	35s:luc	1mM	plate3
9	p35S_1mM_plate3_luc.tif:0154-0244	1416	1043.73	1477922	1043	1477922	1	176.068	background	35s:luc	1mM	plate3
10	p35S_1mM_plate3_luc.tif:0149-0346	1262	1042.513	1315651	1042	1315651	1	156.667	background	35s:luc	1mM	plate3
11	p35S_1mM_plate3_luc.tif:0171-0450	1556	1049.24	1632618	1049	1632618	1	193.548	background	35s:luc	1mM	plate3
1	p35S_1mM_plate4_luc.tif:0144-0224	1404	1311.675	1841592	1121	1841592	1	174.843	seedling25	35s:luc	1mM	plate4
2	p35S_1mM_plate4_luc.tif:0159-0274	1719	1304.905	2243131	1125	2243131	1	213.469	seedling26	35s:luc	1mM	plate4
3	p35S_1mM_plate4_luc.tif:0147-0309	1411	1316.926	1858183	1127	1858183	1	175.429	seedling27	35s:luc	1mM	plate4
4	p35S_1mM_plate4_luc.tif:0155-0354	1742	1415.887	2466475	1153	2466475	1	217.638	seedling28	35s:luc	1mM	plate4
5	p35S_1mM_plate4_luc.tif:0164-0411	1787	1383.519	2472348	1136	2472348	1	222.086	seedling29	35s:luc	1mM	plate4
6	p35S_1mM_plate4_luc.tif:0156-0486	1699	1375.916	2337681	1149	2337681	1	211.005	seedling30	35s:luc	1mM	plate4
7	p35S_1mM_plate4_luc.tif:0153-0518	1601	1329.187	2128029	1141	2128029	1	199.135	seedling31	35s:luc	1mM	plate4
8	p35S_1mM_plate4_luc.tif:0161-0579	1623	1350.114	2191235	1148	2191235	1	201.776	seedling32	35s:luc	1mM	plate4
9	p35S_1mM_plate4_luc.tif:0148-0333	1463	1052.226	1539407	1052	1539407	1	181.86	background	35s:luc	1mM	plate4
10	p35S_1mM_plate4_luc.tif:0159-0443	1661	1049.982	1744020	1050	1744020	1	206.498	background	35s:luc	1mM	plate4
11	p35S_1mM_plate4_luc.tif:0147-0550	1483	1048.705	1555229	1047	1555229	1	184.152	background	35s:luc	1mM	plate4
