number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
1	NRT21_1mM_plate1_luc.tif:0171-0180	1577	1255.587	1980061	1105	1980061	1	196.778	seedling1	NRT2.1:luc	1mM	plate1
2	NRT21_1mM_plate1_luc.tif:0159-0228	1351	1259.975	1702226	1106	1702226	1	167.547	seedling2	NRT2.1:luc	1mM	plate1
3	NRT21_1mM_plate1_luc.tif:0172-0280	1538	1379.979	2122408	1139	2122408	1	191.003	seedling3	NRT2.1:luc	1mM	plate1
4	NRT21_1mM_plate1_luc.tif:0177-0338	1547	1299.443	2010239	1111	2010239	1	192.739	seedling4	NRT2.1:luc	1mM	plate1
5	NRT21_1mM_plate1_luc.tif:0169-0388	1495	1397.597	2089407	1128	2089407	1	186.871	seedling5	NRT2.1:luc	1mM	plate1
6	NRT21_1mM_plate1_luc.tif:0174-0445	1493	1239.173	1850086	1098	1850086	1	186.066	seedling6	NRT2.1:luc	1mM	plate1
7	NRT21_1mM_plate1_luc.tif:0187-0490	1702	1355.209	2306565	1136	2306565	1	211.495	seedling7	NRT2.1:luc	1mM	plate1
8	NRT21_1mM_plate1_luc.tif:0185-0551	1600	1358.792	2174067	1142	2174067	1	198.982	seedling8	NRT2.1:luc	1mM	plate1
9	NRT21_1mM_plate1_luc.tif:0170-0256	1412	1044.34	1474608	1044	1474608	1	175.465	background	NRT2.1:luc	1mM	plate1
10	NRT21_1mM_plate1_luc.tif:0160-0364	1332	1046.194	1393530	1047	1393530	1	165.489	background	NRT2.1:luc	1mM	plate1
11	NRT21_1mM_plate1_luc.tif:0178-0525	1498	1042.644	1561881	1042	1561881	1	186.147	background	NRT2.1:luc	1mM	plate1
1	NRT21_1mM_plate2_luc.tif:0136-0172	1323	1353.184	1790262	1114	1790262	1	164.532	seedling9	NRT2.1:luc	1mM	plate2
2	NRT21_1mM_plate2_luc.tif:0129-0234	1136	1122.905	1275620	1068	1275620	1	141.064	seedling10	NRT2.1:luc	1mM	plate2
3	NRT21_1mM_plate2_luc.tif:0147-0291	1337	1311.918	1754034	1114	1754034	1	166.107	seedling11	NRT2.1:luc	1mM	plate2
4	NRT21_1mM_plate2_luc.tif:0137-0336	1234	1370.833	1691608	1133	1691608	1	153.439	seedling12	NRT2.1:luc	1mM	plate2
5	NRT21_1mM_plate2_luc.tif:0149-0394	1368	1307.268	1788343	1111	1788343	1	170.091	seedling13	NRT2.1:luc	1mM	plate2
6	NRT21_1mM_plate2_luc.tif:0146-0435	1404	1159.887	1628482	1077	1628482	1	174.866	seedling14	NRT2.1:luc	1mM	plate2
7	NRT21_1mM_plate2_luc.tif:0170-0483	1666	1314.672	2190243	1134	2190243	1	207.596	seedling15	NRT2.1:luc	1mM	plate2
8	NRT21_1mM_plate2_luc.tif:0176-0541	1744	1280.94	2233960	1121	2233960	1	217.415	seedling16	NRT2.1:luc	1mM	plate2
9	NRT21_1mM_plate2_luc.tif:0141-0263	1270	1041.093	1322188	1041	1322188	1	157.507	background	NRT2.1:luc	1mM	plate2
10	NRT21_1mM_plate2_luc.tif:0144-0365	1213	1041.148	1262912	1041	1262912	1	150.666	background	NRT2.1:luc	1mM	plate2
11	NRT21_1mM_plate2_luc.tif:0168-0517	1589	1043.159	1657579	1043	1657579	1	197.48	background	NRT2.1:luc	1mM	plate2
1	NRT21_1mM_plate3_luc.tif:0167-0198	1224	1119.967	1370839	1065	1370839	1	152.144	seedling17	NRT2.1:luc	1mM	plate3
2	NRT21_1mM_plate3_luc.tif:0176-0237	1438	1329.793	1912242	1126	1912242	1	179.232	seedling18	NRT2.1:luc	1mM	plate3
3	NRT21_1mM_plate3_luc.tif:0179-0283	1412	1333.698	1883182	1135	1883182	1	175.389	seedling19	NRT2.1:luc	1mM	plate3
4	NRT21_1mM_plate3_luc.tif:0183-0349	1459	1447.182	2111439	1148	2111439	1	181.611	seedling20	NRT2.1:luc	1mM	plate3
5	NRT21_1mM_plate3_luc.tif:0190-0404	1613	1301.365	2099101	1113	2099101	1	200.772	seedling21	NRT2.1:luc	1mM	plate3
6	NRT21_1mM_plate3_luc.tif:0184-0456	1434	1359.61	1949681	1139	1949681	1	178.233	seedling22	NRT2.1:luc	1mM	plate3
7	NRT21_1mM_plate3_luc.tif:0177-0509	1413	1334.768	1886027	1136	1886027	1	175.721	seedling23	NRT2.1:luc	1mM	plate3
8	NRT21_1mM_plate3_luc.tif:0187-0568	1548	1336.724	2069248	1148	2069248	1	192.322	seedling24	NRT2.1:luc	1mM	plate3
9	NRT21_1mM_plate3_luc.tif:0168-0217	1189	1042.652	1239713	1042	1239713	1	147.586	background	NRT2.1:luc	1mM	plate3
10	NRT21_1mM_plate3_luc.tif:0182-0320	1460	1043.324	1523253	1044	1523253	1	181.276	background	NRT2.1:luc	1mM	plate3
11	NRT21_1mM_plate3_luc.tif:0181-0541	1440	1044.795	1504505	1044	1504505	1	178.348	background	NRT2.1:luc	1mM	plate3
1	NRT21_1mM_plate4_luc.tif:0149-0208	1147	1259.323	1444444	1095	1444444	1	142.333	seedling25	NRT2.1:luc	1mM	plate4
2	NRT21_1mM_plate4_luc.tif:0154-0263	1159	1212.186	1404923	1089	1404923	1	144.417	seedling26	NRT2.1:luc	1mM	plate4
3	NRT21_1mM_plate4_luc.tif:0159-0322	1231	1373.086	1690269	1129	1690269	1	152.991	seedling27	NRT2.1:luc	1mM	plate4
4	NRT21_1mM_plate4_luc.tif:0154-0361	1245	1130.888	1407956	1069	1407956	1	154.626	seedling28	NRT2.1:luc	1mM	plate4
5	NRT21_1mM_plate4_luc.tif:0182-0414	1607	1357.965	2182250	1132	2182250	1	199.952	seedling29	NRT2.1:luc	1mM	plate4
6	NRT21_1mM_plate4_luc.tif:0172-0470	1373	1381.83	1897253	1143	1897253	1	170.735	seedling30	NRT2.1:luc	1mM	plate4
7	NRT21_1mM_plate4_luc.tif:0174-0526	1395	1444.511	2015093	1167	2015093	1	173.547	seedling31	NRT2.1:luc	1mM	plate4
8	NRT21_1mM_plate4_luc.tif:0182-0566	1474	1392.789	2052971	1171	2052971	1	183.194	seedling32	NRT2.1:luc	1mM	plate4
9	NRT21_1mM_plate4_luc.tif:0155-0288	1182	1041.723	1231316	1041	1231316	1	146.217	background	NRT2.1:luc	1mM	plate4
10	NRT21_1mM_plate4_luc.tif:0168-0446	1354	1046.781	1417342	1046	1417342	1	168.109	background	NRT2.1:luc	1mM	plate4
11	NRT21_1mM_plate4_luc.tif:0180-0591	1376	1040.921	1432307	1041	1432307	1	170.676	background	NRT2.1:luc	1mM	plate4
1	p35S_1mM_plate1_luc.tif:0181-0222	1641	1384.453	2271887	1152	2271887	1	204.052	seedling1	35s:luc	1mM	plate1
2	p35S_1mM_plate1_luc.tif:0167-0274	1448	1313.313	1901677	1118	1901677	1	180.542	seedling2	35s:luc	1mM	plate1
3	p35S_1mM_plate1_luc.tif:0155-0329	1285	1368.459	1758470	1129	1758470	1	159.525	seedling3	35s:luc	1mM	plate1
4	p35S_1mM_plate1_luc.tif:0165-0375	1480	1263.468	1869933	1097	1869933	1	184.156	seedling4	35s:luc	1mM	plate1
5	p35S_1mM_plate1_luc.tif:0178-0431	1701	1387.315	2359823	1147	2359823	1	211.085	seedling5	35s:luc	1mM	plate1
