number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
1	20230511_pNRT21_high_N1_luc.tif:0173-0080	1636	387.04	633197	335	633197	203.693	seedling1	line14	1mM	plate1
2	20230511_pNRT21_high_N1_luc.tif:0167-0128	1606	364.658	585641	328	585641	200.407	seedling2	line14	1mM	plate1
3	20230511_pNRT21_high_N1_luc.tif:0170-0174	1639	409.845	671736	368	671736	204.515	seedling3	line14	1mM	plate1
4	20230511_pNRT21_high_N1_luc.tif:0163-0235	1585	378.743	600307	343	600307	197.448	seedling4	line14	1mM	plate1
5	20230511_pNRT21_high_N1_luc.tif:0163-0270	1556	438.472	682262	376	682262	194.125	seedling5	line14	1mM	plate1
6	20230511_pNRT21_high_N1_luc.tif:0165-0333	1566	459.321	719297	392	719297	195.21	seedling6	line14	1mM	plate1
7	20230511_pNRT21_high_N1_luc.tif:0185-0386	1763	423.43	746507	370	746507	219.782	seedling7	line14	1mM	plate1
8	20230511_pNRT21_high_N1_luc.tif:0163-0437	1569	326.865	512851	307	512851	194.895	seedling8	line14	1mM	plate1
9	20230511_pNRT21_high_N1_luc.tif:0167-0041	1576	286.466	451470	287	451470	195.734	background	line14	1mM	plate1
10	20230511_pNRT21_high_N1_luc.tif:0392-0133	1378	286.665	395025	287	395025	171.233	background	line14	1mM	plate1
11	20230511_pNRT21_high_N1_luc.tif:0393-0232	1408	286.916	403978	287	403978	175	background	line14	1mM	plate1
1	20230511_pNRT21_high_N2_luc.tif:0161-0064	1436	362.205	520126	323	520126	178.894	seedling9	line14	1mM	plate2
2	20230511_pNRT21_high_N2_luc.tif:0175-0114	1585	377.795	598805	335	598805	197.629	seedling10	line14	1mM	plate2
3	20230511_pNRT21_high_N2_luc.tif:0174-0166	1593	354.667	564985	326	564985	198.603	seedling11	line14	1mM	plate2
4	20230511_pNRT21_high_N2_luc.tif:0147-0236	1139	307.676	350443	298	350443	142.287	seedling12	line14	1mM	plate2
5	20230511_pNRT21_high_N2_luc.tif:0190-0279	1867	431.099	804862	369	804862	232.696	seedling13	line14	1mM	plate2
6	20230511_pNRT21_high_N2_luc.tif:0154-0336	1285	384.194	493689	340	493689	159.753	seedling14	line14	1mM	plate2
7	20230511_pNRT21_high_N2_luc.tif:0152-0382	1249	309.376	386411	298	386411	155.389	seedling15	line14	1mM	plate2
8	20230511_pNRT21_high_N2_luc.tif:0169-0439	1554	380.102	590678	335	590678	193.428	seedling16	line14	1mM	plate2
9	20230511_pNRT21_high_N2_luc.tif:0162-0036	1439	286.372	412090	286	412090	178.463	background	line14	1mM	plate2
10	20230511_pNRT21_high_N2_luc.tif:0395-0139	1324	286.81	379737	287	379737	164.947	background	line14	1mM	plate2
11	20230511_pNRT21_high_N2_luc.tif:0380-0387	1162	287.074	333580	287	333580	143.661	background	line14	1mM	plate2
1	20230511_pNRT21_high_N3_luc.tif:0153-0069	1201	385.761	463299	318	463299	149.183	seedling17	line14	1mM	plate3
2	20230511_pNRT21_high_N3_luc.tif:0182-0124	1667	402.858	671565	343	671565	207.611	seedling18	line14	1mM	plate3
3	20230511_pNRT21_high_N3_luc.tif:0168-0163	1516	384.964	583606	341	583606	188.569	seedling19	line14	1mM	plate3
4	20230511_pNRT21_high_N3_luc.tif:0165-0229	1438	341.273	490750	315	490750	178.811	seedling20	line14	1mM	plate3
5	20230511_pNRT21_high_N3_luc.tif:0132-0277	912	384.627	350780	336	350780	113.327	seedling21	line14	1mM	plate3
