number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen_norm_bckg	RawIntDen_normBackg_normLen
2	20241024_pNRT21_LUC_10mM_N6_luc.tif:0174-0119	1.24E+03	631.654	7.83E+05	348	782619	1.54E+02	seedling10	pNRT2.1:LUC	10mM	38.61775	plate6	564068.8918	14606.46702
3	20241024_pNRT21_LUC_10mM_N6_luc.tif:0176-0226	1.33E+03	440.801	5.88E+05	244	588028	1.66E+02	seedling12	pNRT2.1:LUC	10mM	41.50925	plate6	352720.6196	8497.39804
4	20241024_pNRT21_LUC_10mM_N6_luc.tif:0164-0286	1.23E+03	293.918	3.60E+05	192	360343	1.52E+02	seedling13	pNRT2.1:LUC	10mM	37.97875	plate6	144085.9922	3793.858202
5	20241024_pNRT21_LUC_10mM_N6_luc.tif:0174-0338	1.31E+03	445.539	5.83E+05	258	583210	1.63E+02	seedling14	pNRT2.1:LUC	10mM	40.711	plate6	352312.4281	8653.986098
6	20241024_pNRT21_LUC_10mM_N6_luc.tif:0164-0379	1.22E+03	420.639	5.11E+05	250	511076	1.51E+02	seedling15	pNRT2.1:LUC	10mM	37.756	plate6	296759.3079	7859.924461
7	20241024_pNRT21_LUC_10mM_N6_luc.tif:0183-0431	1.52E+03	459.316	6.98E+05	272	698160	1.90E+02	seedling16	pNRT2.1:LUC	10mM	47.45575	plate6	430043.6445	9061.992372
8	20241024_pNRT21_LUC_10mM_N6_luc.tif:0374-0395	1.27E+03	173.382	2.20E+05	163	219675	1.58E+02	background		10mM	39.43425	plate6		0
9	20241024_pNRT21_LUC_10mM_N6_luc.tif:0408-0325	1.34E+03	180.138	2.42E+05	169	241925	1.67E+02	background		10mM	41.647	plate6		0
10	20241024_pNRT21_LUC_10mM_N6_luc.tif:0377-0207	1.21E+03	175.657	2.12E+05	165	211667	1.50E+02	background		10mM	37.41325	plate6		0
1	20241024_pNRT21_LUC_10mM_N7_luc.tif:0186-0070	1.32E+03	486.546	6.43E+05	256	643214	1.63E+02	seedling17	pNRT2.1:LUC	10mM	40.85875	plate7	413416.1427	10118.17891
2	20241024_pNRT21_LUC_10mM_N7_luc.tif:0173-0127	1.16E+03	223.567	2.58E+05	187	258443	1.44E+02	seedling18	pNRT2.1:LUC	10mM	35.9645	plate7	57500.24432	1598.805609
3	20241024_pNRT21_LUC_10mM_N7_luc.tif:0177-0182	1.32E+03	581.549	7.65E+05	333	765319	1.63E+02	seedling19	pNRT2.1:LUC	10mM	40.766	plate7	536564.0982	13162.04921
4	20241024_pNRT21_LUC_10mM_N7_luc.tif:0208-0242	1.80E+03	652.948	1.17E+06	329	1172041	2.23E+02	seedling20	pNRT2.1:LUC	10mM	55.76525	plate7	860023.4858	15422.21161
5	20241024_pNRT21_LUC_10mM_N7_luc.tif:0173-0284	1.30E+03	557.112	7.25E+05	303	725360	1.62E+02	seedling21	pNRT2.1:LUC	10mM	40.4765	plate7	499038.661	12329.09617
6	20241024_pNRT21_LUC_10mM_N7_luc.tif:0181-0332	1.55E+03	749.716	1.16E+06	292	1158311	1.93E+02	seedling22	pNRT2.1:LUC	10mM	48.2835	plate7	889749.9641	18427.61946
7	20241024_pNRT21_LUC_10mM_N7_luc.tif:0146-0376	9.66E+02	175.124	1.69E+05	164	169170	1.20E+02	seedling23	pNRT2.1:LUC	10mM	29.93125	plate7	1254.167828	41.90161881
8	20241024_pNRT21_LUC_10mM_N7_luc.tif:0161-0425	1.13E+03	296.557	3.34E+05	224	333923	1.40E+02	seedling24	pNRT2.1:LUC	10mM	34.93325	plate7	138195.0217	3955.973799
9	20241024_pNRT21_LUC_10mM_N7_luc.tif:0381-0380	1.31E+03	172.732	2.27E+05	161	226970	1.64E+02	background		10mM	41.00025	plate7		0
10	20241024_pNRT21_LUC_10mM_N7_luc.tif:0400-0324	1.25E+03	176.115	2.20E+05	166	219968	1.55E+02	background		10mM	38.68975	plate7		0
11	20241024_pNRT21_LUC_10mM_N7_luc.tif:0389-0215	1.27E+03	172.63	2.19E+05	163	218550	1.57E+02	background		10mM	39.29675	plate7		0
1	20241024_pNRT21_LUC_10mM_N8_luc.tif:0173-0080	1.23E+03	243.855	3.00E+05	204	300186	1.53E+02	seedling25	pNRT2.1:LUC	10mM	38.2755	plate8	76605.01442	2001.411201
2	20241024_pNRT21_LUC_10mM_N8_luc.tif:0180-0122	1.42E+03	507.179	7.21E+05	265	721209	1.76E+02	seedling26	pNRT2.1:LUC	10mM	44.069	plate8	462937.5447	10504.83434
3	20241024_pNRT21_LUC_10mM_N8_luc.tif:0183-0183	1.50E+03	665.691	1.00E+06	364	1001199	1.88E+02	seedling27	pNRT2.1:LUC	10mM	46.9565	plate8	728034.254	15504.44037
4	20241024_pNRT21_LUC_10mM_N8_luc.tif:0181-0238	1.42E+03	894.463	1.27E+06	442	1273716	1.77E+02	seedling28	pNRT2.1:LUC	10mM	44.33075	plate8	1015081.294	22897.90481
5	20241024_pNRT21_LUC_10mM_N8_luc.tif:0169-0291	1.30E+03	1030.933	1.34E+06	482	1343306	1.62E+02	seedling29	pNRT2.1:LUC	10mM	40.57425	plate8	1106647.979	27274.63795
6	20241024_pNRT21_LUC_10mM_N8_luc.tif:0171-0338	1.35E+03	291.128	3.92E+05	221	391567	1.67E+02	seedling30	pNRT2.1:LUC	10mM	41.76375	plate8	147280.7079	3526.520197
7	20241024_pNRT21_LUC_10mM_N8_luc.tif:0179-0372	1.43E+03	575.145	8.21E+05	289	821307	1.78E+02	seedling31	pNRT2.1:LUC	10mM	44.45125	plate8	561945.7917	12641.84453
8	20241024_pNRT21_LUC_10mM_N8_luc.tif:0174-0429	1.43E+03	418.862	6.00E+05	258	600229	1.78E+02	seedling32	pNRT2.1:LUC	10mM	44.536	plate8	339959.6642	7633.367708
9	20241024_pNRT21_LUC_10mM_N8_luc.tif:0381-0413	1.32E+03	178.119	2.36E+05	167	235829	1.65E+02	background		10mM	41.15675	plate8		0
10	20241024_pNRT21_LUC_10mM_N8_luc.tif:0381-0286	1.11E+03	178.913	1.98E+05	171	197699	1.38E+02	background		10mM	34.379	plate8		0
11	20241024_pNRT21_LUC_10mM_N8_luc.tif:0413-0220	1.24E+03	187.845	2.32E+05	178	232364	1.54E+02	background		10mM	38.3895	plate8		0
