number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
4	20230316_rep3_pNRT21_1mM_N5_luc.tif:0151-0235	1093	311.532	340505	285	340505	135.858	seedling36	pNRT2.1:LUC	1mM	plate5
5	20230316_rep3_pNRT21_1mM_N5_luc.tif:0155-0283	1053	283.19	298199	272	298199	130.765	seedling37	pNRT2.1:LUC	1mM	plate5
6	20230316_rep3_pNRT21_1mM_N5_luc.tif:0164-0328	1164	321.795	374569	300	374569	144.424	seedling38	pNRT2.1:LUC	1mM	plate5
7	20230316_rep3_pNRT21_1mM_N5_luc.tif:0173-0389	1427	298.237	425584	275	425584	177.817	seedling39	pNRT2.1:LUC	1mM	plate5
8	20230316_rep3_pNRT21_1mM_N5_luc.tif:0187-0435	1666	285.127	475021	269	475021	207.625	seedling40	pNRT2.1:LUC	1mM	plate5
9	20230316_rep3_pNRT21_1mM_N5_luc.tif:0397-0386	1331	251.828	335183	252	335183	165.672	background	pNRT2.1:LUC	1mM	plate5
10	20230316_rep3_pNRT21_1mM_N5_luc.tif:0393-0156	1311	251.631	329888	252	329888	162.948	background	pNRT2.1:LUC	1mM	plate5
11	20230316_rep3_pNRT21_1mM_N5_luc.tif:0400-0053	1370	250.657	343400	251	343400	170.166	background	pNRT2.1:LUC	1mM	plate5
1	20230316_rep3_pNRT21_1mM_N6_luc.tif:0182-0049	1548	286.748	443886	269	443886	192.604	seedling41	pNRT2.1:LUC	1mM	plate6
2	20230316_rep3_pNRT21_1mM_N6_luc.tif:0188-0099	1767	314.671	556024	284	556024	220.41	seedling42	pNRT2.1:LUC	1mM	plate6
4	20230316_rep3_pNRT21_1mM_N6_luc.tif:0170-0212	1611	294.681	474731	276	474731	199.881	seedling44	pNRT2.1:LUC	1mM	plate6
5	20230316_rep3_pNRT21_1mM_N6_luc.tif:0206-0262	1983	340.092	674403	305	674403	246.473	seedling45	pNRT2.1:LUC	1mM	plate6
6	20230316_rep3_pNRT21_1mM_N6_luc.tif:0198-0320	1863	378.081	704364	288	704364	232.598	seedling46	pNRT2.1:LUC	1mM	plate6
7	20230316_rep3_pNRT21_1mM_N6_luc.tif:0202-0357	1970	361.917	712977	320	712977	245.839	seedling47	pNRT2.1:LUC	1mM	plate6
8	20230316_rep3_pNRT21_1mM_N6_luc.tif:0207-0418	2182	333.877	728520	299	728520	271.18	seedling48	pNRT2.1:LUC	1mM	plate6
9	20230316_rep3_pNRT21_1mM_N6_luc.tif:0398-0448	1442	256.521	369903	256	369903	179.492	background	pNRT2.1:LUC	1mM	plate6
10	20230316_rep3_pNRT21_1mM_N6_luc.tif:0415-0307	1327	256.331	340151	256	340151	164.421	background	pNRT2.1:LUC	1mM	plate6
11	20230316_rep3_pNRT21_1mM_N6_luc.tif:0407-0174	1258	256.133	322215	256	322215	156.233	background	pNRT2.1:LUC	1mM	plate6
1	20230316_rep3_pNRT21_1mM_N7_luc.tif:0185-0083	1581	315.664	499065	280	499065	196.975	seedling49	pNRT2.1:LUC	1mM	plate7
2	20230316_rep3_pNRT21_1mM_N7_luc.tif:0170-0113	1292	290.701	375586	273	375586	160.525	seedling50	pNRT2.1:LUC	1mM	plate7
3	20230316_rep3_pNRT21_1mM_N7_luc.tif:0185-0155	1586	325.443	516153	297	516153	197.793	seedling51	pNRT2.1:LUC	1mM	plate7
5	20230316_rep3_pNRT21_1mM_N7_luc.tif:0200-0278	1863	306.729	571437	282	571437	232.221	seedling53	pNRT2.1:LUC	1mM	plate7
6	20230316_rep3_pNRT21_1mM_N7_luc.tif:0180-0316	1513	306.485	463712	283	463712	188.094	seedling54	pNRT2.1:LUC	1mM	plate7
7	20230316_rep3_pNRT21_1mM_N7_luc.tif:0188-0381	1599	315.176	503967	285	503967	199.337	seedling55	pNRT2.1:LUC	1mM	plate7
8	20230316_rep3_pNRT21_1mM_N7_luc.tif:0184-0422	1461	339.936	496646	299	496646	181.554	seedling56	pNRT2.1:LUC	1mM	plate7
9	20230316_rep3_pNRT21_1mM_N7_luc.tif:0400-0453	1479	257.107	380261	257	380261	183.911	background	pNRT2.1:LUC	1mM	plate7
10	20230316_rep3_pNRT21_1mM_N7_luc.tif:0399-0334	1539	256.875	395331	257	395331	190.947	background	pNRT2.1:LUC	1mM	plate7
11	20230316_rep3_pNRT21_1mM_N7_luc.tif:0394-0156	1207	256.771	309923	257	309923	149.701	background	pNRT2.1:LUC	1mM	plate7
1	20230316_rep3_pNRT21_1mM_N8_luc.tif:0182-0077	1527	294.881	450283	272	450283	190.365	seedling57	pNRT2.1:LUC	1mM	plate8
2	20230316_rep3_pNRT21_1mM_N8_luc.tif:0175-0137	1460	298.979	436509	277	436509	181.376	seedling58	pNRT2.1:LUC	1mM	plate8
3	20230316_rep3_pNRT21_1mM_N8_luc.tif:0159-0178	1276	329.708	420707	296	420707	159.529	seedling59	pNRT2.1:LUC	1mM	plate8
4	20230316_rep3_pNRT21_1mM_N8_luc.tif:0193-0237	1699	321.086	545525	295	545525	211.424	seedling60	pNRT2.1:LUC	1mM	plate8
5	20230316_rep3_pNRT21_1mM_N8_luc.tif:0196-0291	1924	331.863	638505	301	638505	239.282	seedling61	pNRT2.1:LUC	1mM	plate8
6	20230316_rep3_pNRT21_1mM_N8_luc.tif:0177-0341	1495	304.799	455675	283	455675	186.202	seedling62	pNRT2.1:LUC	1mM	plate8
7	20230316_rep3_pNRT21_1mM_N8_luc.tif:0166-0394	1307	293.608	383746	270	383746	163.099	seedling63	pNRT2.1:LUC	1mM	plate8
8	20230316_rep3_pNRT21_1mM_N8_luc.tif:0183-0432	1605	308.282	494792	290	494792	200.328	seedling64	pNRT2.1:LUC	1mM	plate8
9	20230316_rep3_pNRT21_1mM_N8_luc.tif:0390-0418	1375	257.206	353658	257	353658	170.928	background	pNRT2.1:LUC	1mM	plate8
10	20230316_rep3_pNRT21_1mM_N8_luc.tif:0413-0285	1414	256.937	363309	257	363309	175.987	background	pNRT2.1:LUC	1mM	plate8
11	20230316_rep3_pNRT21_1mM_N8_luc.tif:0384-0144	1222	256.918	313954	257	313954	151.558	background	pNRT2.1:LUC	1mM	plate8
1	20230316_rep3_pNRT21_10mM_N13_luc.tif:0173-0066	1657	289.171	479157	267	479157	206.334	seedling97	pNRT2.1:LUC	10mM	plate13
2	20230316_rep3_pNRT21_10mM_N13_luc.tif:0166-0104	1581	309.956	490040	276	490040	196.271	seedling98	pNRT2.1:LUC	10mM	plate13
3	20230316_rep3_pNRT21_10mM_N13_luc.tif:0163-0151	1626	306.378	498171	270	498171	202.494	seedling99	pNRT2.1:LUC	10mM	plate13
4	20230316_rep3_pNRT21_10mM_N13_luc.tif:0159-0207	1471	326.687	480557	287	480557	182.867	seedling100	pNRT2.1:LUC	10mM	plate13
5	20230316_rep3_pNRT21_10mM_N13_luc.tif:0149-0256	1328	314.792	418044	278	418044	164.886	seedling101	pNRT2.1:LUC	10mM	plate13
6	20230316_rep3_pNRT21_10mM_N13_luc.tif:0167-0321	1710	304.019	519872	278	519872	212.805	seedling102	pNRT2.1:LUC	10mM	plate13
7	20230316_rep3_pNRT21_10mM_N13_luc.tif:0166-0360	1705	284.534	485130	268	485130	211.938	seedling103	pNRT2.1:LUC	10mM	plate13
8	20230316_rep3_pNRT21_10mM_N13_luc.tif:0178-0419	1913	303.318	580247	273	580247	237.958	seedling104	pNRT2.1:LUC	10mM	plate13
9	20230316_rep3_pNRT21_10mM_N13_luc.tif:0404-0435	1545	258.256	399005	258	399005	192.184	background	pNRT2.1:LUC	10mM	plate13
10	20230316_rep3_pNRT21_10mM_N13_luc.tif:0401-0300	1584	258.087	408810	258	408810	196.434	background	pNRT2.1:LUC	10mM	plate13
11	20230316_rep3_pNRT21_10mM_N13_luc.tif:0389-0154	1575	258.144	406577	258	406577	195.923	background	pNRT2.1:LUC	10mM	plate13
1	20230316_rep3_pNRT21_10mM_N14_luc.tif:0166-0054	1582	281.217	444885	266	444885	196.14	seedling105	pNRT2.1:LUC	10mM	plate14
2	20230316_rep3_pNRT21_10mM_N14_luc.tif:0191-0095	1973	288.185	568589	268	568589	245.959	seedling106	pNRT2.1:LUC	10mM	plate14
3	20230316_rep3_pNRT21_10mM_N14_luc.tif:0199-0148	2309	324.187	748548	284	748548	287.933	seedling107	pNRT2.1:LUC	10mM	plate14
4	20230316_rep3_pNRT21_10mM_N14_luc.tif:0173-0202	1852	325.531	602884	291	602884	230.284	seedling108	pNRT2.1:LUC	10mM	plate14
5	20230316_rep3_pNRT21_10mM_N14_luc.tif:0166-0259	1634	324.651	530479	293	530479	203.352	seedling109	pNRT2.1:LUC	10mM	plate14
6	20230316_rep3_pNRT21_10mM_N14_luc.tif:0165-0314	1611	327.138	527020	297	527020	200.395	seedling110	pNRT2.1:LUC	10mM	plate14
7	20230316_rep3_pNRT21_10mM_N14_luc.tif:0183-0360	1869	294.511	550441	272	550441	232.997	seedling111	pNRT2.1:LUC	10mM	plate14
8	20230316_rep3_pNRT21_10mM_N14_luc.tif:0196-0407	2199	308.955	679393	280	679393	274.382	seedling112	pNRT2.1:LUC	10mM	plate14
9	20230316_rep3_pNRT21_10mM_N14_luc.tif:0400-0425	1652	260.968	431119	261	431119	205.283	background	pNRT2.1:LUC	10mM	plate14
10	20230316_rep3_pNRT21_10mM_N14_luc.tif:0407-0279	1284	260.643	334665	261	334665	159.443	background	pNRT2.1:LUC	10mM	plate14
11	20230316_rep3_pNRT21_10mM_N14_luc.tif:0402-0139	1325	260.584	345274	261	345274	164.902	background	pNRT2.1:LUC	10mM	plate14
1	20230316_rep3_pNRT21_10mM_N15_luc.tif:0168-0072	1640	274.73	450558	266	450558	203.95	seedling113	pNRT2.1:LUC	10mM	plate15
2	20230316_rep3_pNRT21_10mM_N15_luc.tif:0189-0106	1935	305.543	591226	278	591226	240.568	seedling114	pNRT2.1:LUC	10mM	plate15
3	20230316_rep3_pNRT21_10mM_N15_luc.tif:0180-0177	1768	294.95	521471	271	521471	220.088	seedling115	pNRT2.1:LUC	10mM	plate15
4	20230316_rep3_pNRT21_10mM_N15_luc.tif:0157-0222	1420	306.439	435144	281	435144	176.467	seedling116	pNRT2.1:LUC	10mM	plate15
5	20230316_rep3_pNRT21_10mM_N15_luc.tif:0147-0274	1176	271.38	319143	267	319143	146.626	seedling117	pNRT2.1:LUC	10mM	plate15
6	20230316_rep3_pNRT21_10mM_N15_luc.tif:0180-0326	1672	322.819	539754	292	539754	208.479	seedling118	pNRT2.1:LUC	10mM	plate15
8	20230316_rep3_pNRT21_10mM_N15_luc.tif:0209-0406	2023	295.59	597979	273	597979	252.454	seedling120	pNRT2.1:LUC	10mM	plate15
9	20230316_rep3_pNRT21_10mM_N15_luc.tif:0387-0432	1533	262.104	401805	262	401805	190.157	background	pNRT2.1:LUC	10mM	plate15
10	20230316_rep3_pNRT21_10mM_N15_luc.tif:0385-0290	1570	261.71	410884	262	410884	195.6	background	pNRT2.1:LUC	10mM	plate15
11	20230316_rep3_pNRT21_10mM_N15_luc.tif:0388-0144	1306	261.768	341869	262	341869	162.37	background	pNRT2.1:LUC	10mM	plate15
1	20230316_rep3_pNRT21_10mM_N16_luc.tif:0160-0057	1553	294.551	457438	273	457438	193.398	seedling121	pNRT2.1:LUC	10mM	plate16
2	20230316_rep3_pNRT21_10mM_N16_luc.tif:0159-0114	1451	293.79	426290	273	426290	180.394	seedling122	pNRT2.1:LUC	10mM	plate16
3	20230316_rep3_pNRT21_10mM_N16_luc.tif:0198-0164	2078	338.572	703553	295	703553	259.22	seedling123	pNRT2.1:LUC	10mM	plate16
4	20230316_rep3_pNRT21_10mM_N16_luc.tif:0160-0222	1595	300.426	479179	281	479179	199.039	seedling124	pNRT2.1:LUC	10mM	plate16
5	20230316_rep3_pNRT21_10mM_N16_luc.tif:0171-0265	1934	276.721	535178	269	535178	241.226	seedling125	pNRT2.1:LUC	10mM	plate16
6	20230316_rep3_pNRT21_10mM_N16_luc.tif:0171-0319	1986	311.565	618769	276	618769	247.522	seedling126	pNRT2.1:LUC	10mM	plate16
7	20230316_rep3_pNRT21_10mM_N16_luc.tif:0183-0390	2046	322.196	659214	283	659214	253.84	seedling127	pNRT2.1:LUC	10mM	plate16
8	20230316_rep3_pNRT21_10mM_N16_luc.tif:0171-0429	1866	305.503	570069	279	570069	233.11	seedling128	pNRT2.1:LUC	10mM	plate16
9	20230316_rep3_pNRT21_10mM_N16_luc.tif:0385-0445	1567	263.118	412306	263	412306	194.343	background	pNRT2.1:LUC	10mM	plate16
10	20230316_rep3_pNRT21_10mM_N16_luc.tif:0382-0359	1789	263.089	470667	263	470667	222.738	background	pNRT2.1:LUC	10mM	plate16
11	20230316_rep3_pNRT21_10mM_N16_luc.tif:0380-0230	1552	262.84	407928	263	407928	193.172	background	pNRT2.1:LUC	10mM	plate16
