gene	name	type
AT1G28710	GT77	cell_wall
AT1G29200	GTnc	cell_wall
AT1G29380	CBM43	cell_wall
AT1G29720	CBM57	cell_wall
AT1G29890	GT	cell_wall
AT1G30000	GH47	cell_wall
AT1G30080	GH17	cell_wall
AT1G30350	PL1	cell_wall
AT1G30530	GT1	cell_wall
AT1G30620	GT	cell_wall
AT1G30710	AA7	cell_wall
AT1G30740	AA7	cell_wall
AT1G30870	AA	cell_wall
AT1G31740	GH/GH35	cell_wall
AT1G32170	GH/GH16	cell_wall
AT1G32180	GT2	cell_wall
AT1G32860	GH17	cell_wall
AT1G32900	GT/GT5	cell_wall
AT1G32930	GT31	cell_wall
AT1G33220	GH17	cell_wall
AT1G33250	GT31	cell_wall
AT1G33270	GT	cell_wall
AT1G33430	GT31	cell_wall
AT1G33660	AA	cell_wall
AT1G33700	CBM/GH116	cell_wall
AT1G34130	GT66	cell_wall
AT1G34270	GT47	cell_wall
AT1G34330	AA	cell_wall
AT1G34490	GT	cell_wall
AT1G34500	GT	cell_wall
AT1G34510	AA	cell_wall
AT1G34520	GT	cell_wall
AT1G34550	GTnc	cell_wall
AT1G35230	GT	cell_wall
AT1G35580	GH100	cell_wall
AT1G35720	GT	cell_wall
AT1G38065	GTnc	cell_wall
AT1G38131	GTnc	cell_wall
AT1G43050	PL	cell_wall
AT1G43080	GH28	cell_wall
AT1G43090	GH28	cell_wall
AT1G43100	GH28	cell_wall
AT1G43110	PL	cell_wall
AT1G43120	PL	cell_wall
AT1G43620	GT1	cell_wall
AT1G44120	CI	cell_wall
AT1G44191	Ext	cell_wall
AT1G44970	AA	cell_wall
AT1G44980	CE8	cell_wall
AT1G45130	GH35	cell_wall
AT1G45191	GH1	cell_wall
AT1G45688	CI	cell_wall
AT1G47600	CBM/GH1	cell_wall
AT1G47705	AA	cell_wall
AT1G47960	CE	cell_wall
AT1G48010	CE	cell_wall
AT1G48020	CE	cell_wall
AT1G48100	GH28	cell_wall
AT1G48930	GH9	cell_wall
AT1G49490	Ext	cell_wall
AT1G49570	AA	cell_wall
AT1G49710	GT10	cell_wall
AT1G49750	Ext	cell_wall
AT1G50325	CE	cell_wall
AT1G50330	CE	cell_wall
AT1G50340	CE	cell_wall
AT1G50390	GH	cell_wall
AT1G50580	GT1	cell_wall
AT1G51210	GT1	cell_wall
AT1G51470	CBM/GH1	cell_wall
AT1G51490	GH1	cell_wall
AT1G51590	GH/GH47	cell_wall
AT1G51630	GTnc	cell_wall
AT1G51770	GTnc	cell_wall
AT1G51940	CBM50	cell_wall
AT1G52400	CBM/GH1	cell_wall
AT1G52420	GT4	cell_wall
AT1G52630	GTnc	cell_wall
AT1G52920	CE	cell_wall
AT1G53040	GTnc	cell_wall
AT1G53060	AA	cell_wall
AT1G53070	AA	cell_wall
AT1G53080	AA	cell_wall
AT1G53100	GT/GT14	cell_wall
AT1G53290	GT31	cell_wall
AT1G53770	GT68	cell_wall
AT1G53830	CE/CE8	cell_wall
AT1G53840	CE/CE8	cell_wall
AT1G54215	Ext	cell_wall
AT1G54620	CE	cell_wall
AT1G54940	GT8	cell_wall
AT1G55120	GH32	cell_wall
AT1G55330	GT	cell_wall
AT1G55740	GH36	cell_wall
AT1G55770	CE	cell_wall
AT1G55850	GT2	cell_wall
AT1G56480	CE	cell_wall
AT1G56490	CE	cell_wall
AT1G56550	GT77	cell_wall
AT1G56560	GH100	cell_wall
AT1G56600	GT8	cell_wall
AT1G56620	CE	cell_wall
AT1G56680	GH19	cell_wall
AT1G56710	GH28	cell_wall
AT1G57590	CE13	cell_wall
AT1G57600	GT	cell_wall
AT1G57800	CE	cell_wall
AT1G58230	AA	cell_wall
AT1G58370	CBM/GH10	cell_wall
AT1G60090	CBM/GH1	cell_wall
AT1G60140	GT20	cell_wall
AT1G60260	CBM/GH1	cell_wall
AT1G60270	CBM/GH1	cell_wall
AT1G60390	GH/PL	cell_wall
AT1G60450	GT8	cell_wall
AT1G60470	GT8	cell_wall
AT1G60590	GH28	cell_wall
AT1G60740	AA	cell_wall
AT1G60760	CE	cell_wall
AT1G61050	GT32	cell_wall
AT1G61240	GTnc	cell_wall
AT1G61810	GH1	cell_wall
AT1G61820	GH1	cell_wall
AT1G62305	GTnc	cell_wall
AT1G62330	GTnc	cell_wall
AT1G62440	Ext	cell_wall
AT1G62660	GH/GH32	cell_wall
AT1G62760	CE	cell_wall
AT1G62770	CE	cell_wall
AT1G62980	CBM	cell_wall
AT1G63420	GT90	cell_wall
AT1G63450	GT47	cell_wall
AT1G63460	AA	cell_wall
AT1G64390	GH/GH9	cell_wall
AT1G64760	GH17	cell_wall
AT1G64910	GT1	cell_wall
AT1G64920	GT1	cell_wall
AT1G64990	CE	cell_wall
AT1G65210	PL4	cell_wall
AT1G65310	GH16	cell_wall
AT1G65570	GH28	cell_wall
AT1G65590	GH20	cell_wall
AT1G65610	GH9	cell_wall
AT1G65680	CBM	cell_wall
AT1G65681	CBM	cell_wall
AT1G65970	AA	cell_wall
AT1G65980	AA	cell_wall
AT1G66040	CE	cell_wall
AT1G66250	GH17	cell_wall
AT1G66270	GH1	cell_wall
AT1G66280	CBM/GH1	cell_wall
AT1G66430	GH	cell_wall
AT1G66852	CBM43	cell_wall
AT1G66855	CBM43	cell_wall
AT1G66870	CBM43	cell_wall
AT1G67410	GT47	cell_wall
AT1G67490	CBM/GH63	cell_wall
AT1G67600	AA	cell_wall
AT1G67750	PL1	cell_wall
AT1G67810	CE	cell_wall
AT1G67830	GHnc	cell_wall
AT1G67850	GTnc	cell_wall
AT1G67880	GT17	cell_wall
AT1G68020	GT20	cell_wall
AT1G68380	GTnc	cell_wall
AT1G68390	GTnc	cell_wall
AT1G68470	GT47	cell_wall
AT1G68560	GH/GH31	cell_wall
AT1G68610	CE	cell_wall
AT1G68725	GT	cell_wall
AT1G68850	AA	cell_wall
AT1G69290	CBM43	cell_wall
AT1G69530	CBM	cell_wall
AT1G69830	GH13	cell_wall
AT1G69940	CE8	cell_wall
AT1G70090	GT8	cell_wall
AT1G70110	AA	cell_wall
AT1G70130	AA	cell_wall
AT1G70140	Ext	cell_wall
AT1G70290	GT20	cell_wall
AT1G70370	PL	cell_wall
AT1G70500	GH28	cell_wall
AT1G70540	CE	cell_wall
AT1G70570	GT	cell_wall
AT1G70630	GT77	cell_wall
AT1G70710	GH9	cell_wall
AT1G70720	CE	cell_wall
AT1G71070	GT14	cell_wall
AT1G71220	GT24	cell_wall
AT1G71380	GH/GH9	cell_wall
AT1G71695	AA	cell_wall
AT1G71990	GT10	cell_wall
AT1G72000	GH/GH100	cell_wall
AT1G72990	GH35	cell_wall
AT1G73160	GT4	cell_wall
AT1G73370	GT4	cell_wall
AT1G73740	GT28	cell_wall
AT1G73810	GTnc	cell_wall
AT1G73880	GT1	cell_wall
AT1G74380	GT34	cell_wall
AT1G74420	GT37	cell_wall
AT1G74680	GT47	cell_wall
AT1G74800	GT31	cell_wall
AT1G75110	GT77	cell_wall
AT1G75120	GT77	cell_wall
AT1G75420	GT4	cell_wall
AT1G75680	GH9	cell_wall
AT1G75940	GH1	cell_wall
AT1G76130	GH13	cell_wall
AT1G76270	GTnc	cell_wall
AT1G76930	Ext	cell_wall
AT1G77100	AA	cell_wall
AT1G77130	GT8	cell_wall
AT1G77410	GH35	cell_wall
AT1G77460	CI	cell_wall
AT1G77490	AA	cell_wall
AT1G77780	GH17	cell_wall
AT1G77790	GH17	cell_wall
AT1G77810	GT31	cell_wall
AT1G78060	GH3	cell_wall
AT1G78270	GT1	cell_wall
AT1G78400	GH28/PL	cell_wall
AT1G78520	CBM43	cell_wall
AT1G78580	GT20	cell_wall
AT1G78800	GT4	cell_wall
AT1G78880	CI	cell_wall
AT1G78910	GH	cell_wall
AT1G79480	CBM43	cell_wall
AT1G80140	GH28/PL	cell_wall
AT1G80170	GH28	cell_wall
AT1G80290	GT64	cell_wall
AT2G01480	GTnc	cell_wall
AT2G01610	CE	cell_wall
AT2G01630	GH17	cell_wall
AT2G01850	GH/GH16	cell_wall
AT2G01860	GH	cell_wall
AT2G02060	GT77	cell_wall
AT2G02720	PL1	cell_wall
AT2G02910	GTnc	cell_wall
AT2G03090	CBM	cell_wall
AT2G03210	GT37	cell_wall
AT2G03220	GT37	cell_wall
AT2G03280	GTnc	cell_wall
AT2G03360	GT61	cell_wall
AT2G03370	GT61	cell_wall
AT2G03505	CBM43	cell_wall
AT2G04060	GH35	cell_wall
AT2G04280	GTnc	cell_wall
AT2G04560	GT19	cell_wall
AT2G04910	CBM43	cell_wall
AT2G05320	GT16	cell_wall
AT2G05790	GH17	cell_wall
AT2G06850	GH/GH16	cell_wall
AT2G10970	CE	cell_wall
AT2G11810	GT28	cell_wall
AT2G13290	GT17	cell_wall
AT2G13680	CBM/GT48	cell_wall
AT2G14620	GH16	cell_wall
AT2G14690	GH10	cell_wall
AT2G14890	GT/Ext	cell_wall
AT2G15350	GT37	cell_wall
AT2G15370	GT37	cell_wall
AT2G15390	GT37	cell_wall
AT2G15450	GH28	cell_wall
AT2G15460	GH28	cell_wall
AT2G15470	GH28	cell_wall
AT2G15480	GT1	cell_wall
AT2G15490	GT1	cell_wall
AT2G15880	Ext	cell_wall
AT2G16230	GH17/CBM43	cell_wall
AT2G16730	GH35	cell_wall
AT2G16890	GT1	cell_wall
AT2G17430	CE	cell_wall
AT2G18140	AA	cell_wall
AT2G18150	AA	cell_wall
AT2G18560	GT1	cell_wall
AT2G18570	GT1	cell_wall
AT2G18660	CBM	cell_wall
AT2G18700	GT20	cell_wall
AT2G18800	GH16	cell_wall
AT2G18840	GT	cell_wall
AT2G18980	AA	cell_wall
AT2G19150	CE8	cell_wall
AT2G19160	GTnc	cell_wall
AT2G19440	GH17	cell_wall
AT2G19880	GT21	cell_wall
AT2G20370	GT47	cell_wall
AT2G20680	GH5	cell_wall
AT2G20750	CBM	cell_wall
AT2G20810	GT8	cell_wall
AT2G21610	CE/CE8	cell_wall
AT2G21770	GT2	cell_wall
AT2G22125	CI	cell_wall
AT2G22420	AA	cell_wall
AT2G22470	GT	cell_wall
AT2G22590	GT1	cell_wall
AT2G22620	PL4	cell_wall
AT2G22900	GT34	cell_wall
AT2G22930	GT1	cell_wall
AT2G23130	GT	cell_wall
AT2G23210	GT1	cell_wall
AT2G23250	GT1	cell_wall
AT2G23260	GT1	cell_wall
AT2G23900	GH28	cell_wall
AT2G24630	GT2	cell_wall
AT2G24800	AA	cell_wall
AT2G24980	Ext	cell_wall
AT2G25080	AA	cell_wall
AT2G25260	GTnc	cell_wall
AT2G25300	GT31	cell_wall
AT2G25540	GT2	cell_wall
AT2G25630	GH1	cell_wall
AT2G26100	GT/GT31	cell_wall
AT2G26440	CE8	cell_wall
AT2G26450	CE8	cell_wall
AT2G26480	GT1	cell_wall
AT2G26600	GH17	cell_wall
AT2G26620	GH28	cell_wall
AT2G27040	AA	cell_wall
AT2G27390	Ext	cell_wall
AT2G27500	GH17	cell_wall
AT2G28080	GT1	cell_wall
AT2G28100	GH/GH29	cell_wall
AT2G28110	GT47	cell_wall
AT2G28310	GTnc	cell_wall
AT2G28470	GH/GH35	cell_wall
AT2G28950	CBM	cell_wall
AT2G29040	GT47	cell_wall
AT2G29130	AA	cell_wall
AT2G29220	AA	cell_wall
AT2G29250	AA	cell_wall
AT2G29710	GT1	cell_wall
AT2G29730	GT1	cell_wall
AT2G29740	GT1	cell_wall
AT2G29750	GT1	cell_wall
AT2G30140	GT1	cell_wall
AT2G30150	GT1	cell_wall
AT2G30200	GT	cell_wall
AT2G30575	GT8	cell_wall
AT2G30933	CBM43	cell_wall
AT2G31390	GH	cell_wall
AT2G31425	CE	cell_wall
AT2G31430	CE	cell_wall
AT2G31570	AA	cell_wall
AT2G31750	GT1	cell_wall
AT2G31790	GT1	cell_wall
AT2G31960	GT48	cell_wall
AT2G31990	GT47	cell_wall
AT2G32290	GH14/GT	cell_wall
AT2G32430	GT31	cell_wall
AT2G32450	GTnc	cell_wall
AT2G32530	GT2	cell_wall
AT2G32540	GT2	cell_wall
AT2G32610	GT2	cell_wall
AT2G32620	GT2	cell_wall
AT2G32740	GT47	cell_wall
AT2G32750	GT47	cell_wall
AT2G32810	GH35	cell_wall
AT2G32860	CBM/GH1	cell_wall
AT2G32990	GH9	cell_wall
AT2G33100	GT2	cell_wall
AT2G33160	GH28	cell_wall
AT2G33290	CE	cell_wall
AT2G33570	GT92	cell_wall
AT2G33790	GT	cell_wall
AT2G34060	AA	cell_wall
AT2G34410	GT	cell_wall
AT2G35100	GT47	cell_wall
AT2G35380	AA	cell_wall
AT2G35610	GT77	cell_wall
AT2G35650	GT2	cell_wall
AT2G35710	GT8	cell_wall
AT2G36190	GH32	cell_wall
AT2G36390	GH13	cell_wall
