position_influx	sample	KNO3	Ninflux_umoleN_Gms_heure	RawIntDen_normBackg_normLen
C1	1mM_KNO3_seedling34	1mM	18.13141889	1724.082316
C2	1mM_KNO3_seedling35	1mM	24.63101128	1960.998143
C3	1mM_KNO3_seedling37	1mM	21.36688185	2100.753694
C4	1mM_KNO3_seedling38	1mM	21.4358092	1054.528134
C5	1mM_KNO3_seedling39	1mM	17.95136553	2000.019906
C6	1mM_KNO3_seedling40	1mM	12.40162362	1241.636451
C7	1mM_KNO3_seedling44	1mM	18.48384518	1829.417295
C8	1mM_KNO3_seedling45	1mM	8.713238942	1025.195427
C9	1mM_KNO3_seedling46	1mM	13.8844244	1066.936643
C10	1mM_KNO3_seedling47	1mM	12.89826393	1132.437747
C11	1mM_KNO3_seedling48	1mM	15.74841325	3489.306672
C12	1mM_KNO3_seedling49	1mM	18.1140243	2150.713269
D1	1mM_KNO3_seedling50	1mM	21.91017807	3479.819967
D2	1mM_KNO3_seedling51	1mM	10.1424838	1165.454683
D3	1mM_KNO3_seedling52	1mM	13.92181421	992.4673151
D4	1mM_KNO3_seedling54	1mM	4.686803823	944.2871422
D5	1mM_KNO3_seedling55	1mM	20.25871953	3594.793961
D6	1mM_KNO3_seedling56	1mM	23.24082543	3328.900914
D7	1mM_KNO3_seedling57	1mM	12.74637092	1599.080361
D8	1mM_KNO3_seedling58	1mM	18.03523205	2778.712475
D9	1mM_KNO3_seedling59	1mM	5.221894076	1543.351382
D10	1mM_KNO3_seedling60	1mM	23.13066956	3931.540654
D11	1mM_KNO3_seedling62	1mM	18.23703773	1572.250277
D12	1mM_KNO3_seedling63	1mM	21.70816965	3325.483176
